X, Y, Z, Time
-0.0212008,-0.1624607,-0.2069957,0.0165076
-0.02140664,-0.1623456,-0.207368,0.0302743
-0.02140619,-0.1631402,-0.2072691,0.0495388
-0.02167546,-0.1620975,-0.2072102,0.0671946
-0.02167546,-0.1620975,-0.2072102,0.07688259
-0.02181811,-0.1713964,-0.2071557,0.09056369
-0.02155367,-0.1638724,-0.2071125,0.1051138
-0.0213884,-0.1636015,-0.206997,0.1218187
-0.0213884,-0.1636015,-0.206997,0.1368575
-0.0208608,-0.1683935,-0.2064074,0.1531119
-0.02116271,-0.1620179,-0.2065943,0.1669533
-0.02116271,-0.1620179,-0.2065943,0.1812728
-0.021958,-0.1600937,-0.2065942,0.1928518
-0.0229615,-0.177995,-0.2061327,0.2120428
-0.02299222,-0.1649277,-0.2067428,0.2246367
-0.02299222,-0.1649277,-0.2067428,0.2393362
-0.02279548,-0.1634544,-0.2063627,0.2782157
-0.02302231,-0.1616277,-0.2063429,0.2895302
-0.02302231,-0.1616277,-0.2063429,0.2997221
-0.02335858,-0.1707802,-0.206409,0.3092198
-0.02363226,-0.1638067,-0.2064544,0.3226267
-0.02363226,-0.1638067,-0.2064544,0.3362676
-0.02339005,-0.1629832,-0.2061912,0.3516116
-0.0241496,-0.1618838,-0.2058697,0.3684175
-0.02369242,-0.1616365,-0.2059702,0.3817205
-0.02369242,-0.1616365,-0.2059702,0.397968
-0.02344008,-0.1626272,-0.2059966,0.4137748
-0.0240015,-0.1615954,-0.2061527,0.4258738
-0.02298236,-0.1649657,-0.2059691,0.4417563
-0.02298236,-0.1649657,-0.2059691,0.4574374
-0.02351288,-0.1623141,-0.2064364,0.4709146
-0.02307644,-0.1623643,-0.2058298,0.4851532
-0.02307644,-0.1623643,-0.2058298,0.5000645
-0.01988346,-0.1618612,-0.200112,0.5132861
-0.01845348,-0.1608665,-0.1979196,0.5266731
-0.01845348,-0.1608665,-0.1979196,0.5411072
-0.0184386,-0.1570941,-0.197692,0.5550376
-0.01865264,-0.1546781,-0.1972966,0.5712738
-0.01889518,-0.1517245,-0.1973509,0.5872758
-0.01880115,-0.1487494,-0.1970877,0.6032964
-0.01880115,-0.1487494,-0.1970877,0.6179263
-0.01857137,-0.1441061,-0.1968696,0.6303423
-0.01817358,-0.1407309,-0.1964241,0.6517461
-0.01729635,-0.1388787,-0.1956854,0.662573
-0.01729635,-0.1388787,-0.1956854,0.6737367
-0.01632994,-0.1351585,-0.1946696,0.6878765
-0.01585975,-0.1321036,-0.1940557,0.7035962
-0.01585975,-0.1321036,-0.1940557,0.7206001
-0.01463058,-0.1257239,-0.1930721,0.7336156
-0.01420072,-0.1227751,-0.1922832,0.7473766
-0.01420072,-0.1227751,-0.1922832,0.7595509
-0.01324527,-0.1165121,-0.1913682,0.774404
-0.01273294,-0.1126933,-0.1907307,0.7886562
-0.01259161,-0.1085702,-0.1904089,0.805823
-0.01259161,-0.1085702,-0.1904089,0.8200147
-0.01231355,-0.1014476,-0.1892811,0.8362958
-0.01235624,-0.09784319,-0.1888566,0.8500158
-0.01256987,-0.09474032,-0.1885973,0.8637148
-0.01256987,-0.09474032,-0.1885973,0.877108
-0.01276107,-0.08804445,-0.1881088,0.893383
-0.01374365,-0.08415594,-0.1881666,0.9078695
-0.01454905,-0.08063537,-0.1881079,0.9219652
-0.01454905,-0.08063537,-0.1881079,0.936833
-0.01665982,-0.07441998,-0.1877168,0.9532069
-0.01789937,-0.07171842,-0.1871216,0.9687848
-0.01870644,-0.06874133,-0.1865574,0.9868048
-0.01870644,-0.06874133,-0.1865574,0.9993005
-0.02026881,-0.06439825,-0.1858414,1.013169
-0.02107752,-0.06249044,-0.1855005,1.024546
-0.02107752,-0.06249044,-0.1855005,1.040855
-0.02364074,-0.05770319,-0.1851861,1.054031
-0.02562236,-0.05449862,-0.1853706,1.070619
-0.02684738,-0.05265249,-0.185039,1.084572
-0.02684738,-0.05265249,-0.185039,1.099954
-0.02983503,-0.04815575,-0.1846529,1.117075
-0.03114302,-0.04605062,-0.1842923,1.132875
-0.03232264,-0.04441829,-0.1839124,1.146865
-0.03355252,-0.04295213,-0.1834505,1.161507
-0.03355252,-0.04295213,-0.1834505,1.175681
-0.03586932,-0.04030229,-0.1818976,1.191067
-0.03713805,-0.03851525,-0.1814251,1.205347
-0.03875978,-0.03623601,-0.1813404,1.221775
-0.03875978,-0.03623601,-0.1813404,1.237828
-0.04169127,-0.0324103,-0.1805312,1.255597
-0.04296261,-0.03070669,-0.1804791,1.267801
-0.04437176,-0.02884455,-0.1806831,1.281762
-0.04437176,-0.02884455,-0.1806831,1.297432
-0.0474323,-0.02529452,-0.1807678,1.314479
-0.04866343,-0.02387363,-0.1808196,1.327524
-0.04969573,-0.02240578,-0.1806905,1.343941
-0.04969573,-0.02240578,-0.1806905,1.359434
-0.05139263,-0.02019961,-0.1803113,1.373895
-0.05244946,-0.01849729,-0.1803392,1.392301
-0.05371571,-0.01723032,-0.180325,1.404765
-0.05371571,-0.01723032,-0.180325,1.419686
-0.05609806,-0.01445779,-0.1799393,1.436505
-0.05711952,-0.0129047,-0.1796656,1.451379
-0.05796267,-0.0113742,-0.1794778,1.46683
-0.05916509,-0.009242248,-0.1792859,1.484746
-0.05916509,-0.009242248,-0.1792859,1.500684
-0.06242859,-0.004850835,-0.1793331,1.51675
-0.06412981,-0.002875298,-0.1793032,1.530529
-0.0651552,-0.001375921,-0.1792007,1.543615
-0.0651552,-0.001375921,-0.1792007,1.561286
-0.06804293,0.002012089,-0.1792055,1.573327
-0.0701339,0.004043698,-0.1792374,1.589329
-0.07169745,0.00552325,-0.1791714,1.60357
-0.07169745,0.00552325,-0.1791714,1.619194
-0.07419229,0.008061498,-0.1788464,1.632757
-0.07546812,0.009567305,-0.1787556,1.646836
-0.07546812,0.009567305,-0.1787556,1.659826
-0.07854269,0.0124479,-0.1785836,1.676424
-0.08014429,0.01378062,-0.1783684,1.691508
-0.08100723,0.01483303,-0.1782915,1.705041
-0.08100723,0.01483303,-0.1782915,1.719612
-0.0827968,0.01698954,-0.1782636,1.736551
-0.08414948,0.0192351,-0.1779625,1.767307
-0.08414948,0.0192351,-0.1779625,1.777028
-0.08492259,0.02048273,-0.1778258,1.784396
-0.08492259,0.02048273,-0.1778258,1.798226
-0.0872045,0.02325226,-0.1775057,1.814576
-0.0885372,0.02474853,-0.1774841,1.827038
-0.08987879,0.02619962,-0.1775226,1.841581
-0.08987879,0.02619962,-0.1775226,1.858884
-0.09244578,0.02955894,-0.1777223,1.883086
-0.09244578,0.02955894,-0.1777223,1.892468
-0.09244578,0.02955894,-0.1777223,1.901463
-0.09424312,0.03147833,-0.1775819,1.917838
-0.09540173,0.03239822,-0.1774074,1.93309
-0.09626855,0.03325514,-0.1773981,1.947649
-0.0972743,0.03407331,-0.1774821,1.962605
-0.0972743,0.03407331,-0.1774821,1.976497
-0.09895136,0.035461,-0.1777281,1.992222
-0.09968249,0.03597298,-0.1777433,2.005944
-0.1007041,0.0369466,-0.1779701,2.022936
-0.1007041,0.0369466,-0.1779701,2.036508
-0.1014583,0.03769468,-0.1778469,2.051009
-0.1020256,0.0384452,-0.1777244,2.070113
-0.1023763,0.0390282,-0.1776001,2.084164
-0.1029372,0.03976338,-0.1774729,2.101563
-0.1029372,0.03976338,-0.1774729,2.115648
-0.1038895,0.04095064,-0.1776588,2.127824
-0.1047163,0.0417414,-0.1778259,2.145822
-0.1047163,0.0417414,-0.1778259,2.15941
-0.1058659,0.04273155,-0.1779881,2.173196
-0.1063296,0.04325069,-0.178044,2.188837
-0.1068587,0.0438605,-0.1781969,2.204652
-0.1068587,0.0438605,-0.1781969,2.218996
-0.1087799,0.04488605,-0.1784143,2.233775
-0.109839,0.04542948,-0.1785593,2.251628
-0.1106352,0.04581757,-0.1787044,2.267158
-0.1106352,0.04581757,-0.1787044,2.280789
-0.1116848,0.04612157,-0.1786389,2.294041
-0.1123004,0.0462449,-0.178545,2.309445
-0.1132126,0.04633136,-0.1784018,2.324955
-0.1145332,0.04638895,-0.178033,2.361485
-0.1149267,0.04637671,-0.1778494,2.371928
-0.1154016,0.04648741,-0.1777499,2.382838
-0.1154016,0.04648741,-0.1777499,2.391907
-0.1164043,0.04671139,-0.17743,2.404546
-0.1175498,0.04688281,-0.1770628,2.422096
-0.1175498,0.04688281,-0.1770628,2.434889
-0.1196506,0.04744441,-0.17664,2.449882
-0.1212159,0.0480179,-0.1763954,2.467596
