X, Y, Z, Time
-0.02119443,-0.1624502,-0.2070039,0.0132467
-0.02647085,-0.158791,-0.2107251,0.0361275
-0.0270689,-0.1595393,-0.2103575,0.0459996
-0.0270689,-0.1595393,-0.2103575,0.059336
-0.02670149,-0.1626454,-0.2090461,0.0819285
-0.02670149,-0.1626454,-0.2090461,0.0914495
-0.02831645,-0.162482,-0.204014,0.1058416
-0.02838663,-0.1618157,-0.2042332,0.1213779
-0.02944042,-0.164809,-0.2053986,0.1430299
-0.02857451,-0.1624386,-0.2044052,0.1602899
-0.02857451,-0.1624386,-0.2044052,0.1725017
-0.02834133,-0.1625294,-0.2041609,0.1870221
-0.02817027,-0.1624954,-0.2040429,0.2119126
-0.02811893,-0.1624553,-0.2039626,0.2225678
-0.02811893,-0.1624553,-0.2039626,0.231369
-0.02813448,-0.1624445,-0.2038444,0.2469842
-0.02815799,-0.1624512,-0.2038382,0.2616868
-0.02815799,-0.1624512,-0.2038382,0.2765586
-0.02825215,-0.1624619,-0.2038316,0.2921854
-0.02826132,-0.1624545,-0.2038392,0.3061717
-0.02826132,-0.1624545,-0.2038392,0.3200996
-0.02826582,-0.1624463,-0.2039881,0.3315307
-0.02824979,-0.1623344,-0.2039642,0.3473814
-0.02854486,-0.1635004,-0.2041909,0.363735
-0.02854486,-0.1635004,-0.2041909,0.3787693
-0.02821082,-0.1616579,-0.2039051,0.3951922
-0.0283392,-0.1613663,-0.2037285,0.4093103
-0.02856539,-0.1633385,-0.2041156,0.4229053
-0.02856539,-0.1633385,-0.2041156,0.4385221
-0.02810581,-0.1616137,-0.2038259,0.4548063
-0.02830927,-0.1612922,-0.2036702,0.4670858
-0.02846547,-0.1632086,-0.2039922,0.4823136
-0.02846547,-0.1632086,-0.2039922,0.4995884
-0.02799691,-0.1615352,-0.2036259,0.5118468
-0.02820865,-0.161542,-0.2037288,0.5261805
-0.02829298,-0.1655426,-0.2037099,0.5409763
-0.02829298,-0.1655426,-0.2037099,0.5583762
-0.02863161,-0.1625261,-0.2036833,0.5737275
-0.02814997,-0.161621,-0.2035704,0.590017
-0.02753114,-0.1650829,-0.2031579,0.6044961
-0.02753114,-0.1650829,-0.2031579,0.619889
-0.02832632,-0.1620266,-0.2029733,0.6349521
-0.02812164,-0.1626333,-0.2026198,0.6484135
-0.02810774,-0.1616512,-0.203053,0.6648749
-0.02810774,-0.1616512,-0.203053,0.6783624
-0.02759009,-0.1621035,-0.1908791,0.6945949
-0.02707683,-0.1605783,-0.1902958,0.7095618
-0.02331374,-0.1605793,-0.1845932,0.7265018
-0.02331374,-0.1605793,-0.1845932,0.74001
-0.02271188,-0.1578025,-0.1816892,0.7539133
-0.02271116,-0.1564875,-0.1803023,0.7660805
-0.02217252,-0.1551123,-0.1780734,0.7807912
-0.02217252,-0.1551123,-0.1780734,0.7951193
-0.02175137,-0.1515787,-0.1745091,0.8113695
-0.0217557,-0.1494667,-0.172584,0.8252544
-0.02166049,-0.1472363,-0.1704166,0.8411697
-0.02166049,-0.1472363,-0.1704166,0.8577608
-0.02145753,-0.1423695,-0.1663989,0.871991
-0.02213578,-0.13912,-0.164794,0.8872215
-0.02317922,-0.1356712,-0.1634704,0.9041706
-0.02317922,-0.1356712,-0.1634704,0.9157028
-0.02603957,-0.1305275,-0.1619544,0.9312866
-0.027501,-0.1273124,-0.160245,0.948323
-0.02898934,-0.1250518,-0.1592323,0.9608587
-0.02898934,-0.1250518,-0.1592323,0.9745902
-0.03163391,-0.1199559,-0.157065,0.9904827
-0.03375334,-0.1163568,-0.1552492,1.007783
-0.0356842,-0.1133691,-0.1543252,1.021804
-0.0356842,-0.1133691,-0.1543252,1.036217
-0.04277018,-0.1014824,-0.1508622,1.074029
