X, Y, Z, Time
-0.02109606,-0.1624663,-0.2060002,0.0126842
-0.02109219,-0.1616972,-0.2072739,0.0305983
-0.02109219,-0.1616972,-0.2072739,0.0432756
-0.0211859,-0.1616303,-0.2073406,0.0586586
-0.02092557,-0.1611839,-0.2071025,0.0799836
-0.02097081,-0.1622198,-0.2072115,0.0955231
-0.02147887,-0.1625213,-0.2070681,0.1117993
-0.02147887,-0.1625213,-0.2070681,0.125466
-0.0209944,-0.1623775,-0.2072203,0.1387916
-0.02151354,-0.1624675,-0.2070487,0.1558613
-0.02096219,-0.1623342,-0.2072228,0.1676945
-0.02096219,-0.1623342,-0.2072228,0.1828978
-0.02146024,-0.1625765,-0.2070806,0.1987653
-0.02112945,-0.1624142,-0.2072504,0.2138455
-0.02111717,-0.1624081,-0.2072572,0.227515
-0.02111717,-0.1624081,-0.2072572,0.2427037
-0.02110418,-0.1624901,-0.2073123,0.2590576
-0.02129741,-0.1627188,-0.2071132,0.2732529
-0.02106609,-0.1625109,-0.2072496,0.2926166
-0.02100194,-0.1625026,-0.2073228,0.3081122
-0.02100194,-0.1625026,-0.2073228,0.3187534
-0.02117402,-0.1627122,-0.2071242,0.3326639
-0.02090346,-0.1625045,-0.2072798,0.3480527
-0.02090346,-0.1625045,-0.2072798,0.3633082
-0.02083766,-0.1624612,-0.2073476,0.3793228
-0.02093203,-0.162461,-0.2071659,0.3946918
-0.02093986,-0.1624493,-0.2071546,0.4085572
-0.02093986,-0.1624493,-0.2071546,0.4247883
-0.02093155,-0.1621554,-0.2071373,0.4384906
-0.02070273,-0.1614852,-0.2072462,0.4507102
-0.02013279,-0.1602704,-0.2068869,0.4661872
-0.02013279,-0.1602704,-0.2068869,0.4834405
-0.01996448,-0.1592122,-0.2067599,0.4961269
-0.01992261,-0.1611936,-0.2069927,0.5102961
-0.01992261,-0.1611936,-0.2069927,0.5258293
-0.02095938,-0.1587916,-0.2066486,0.5421173
-0.02108149,-0.1596044,-0.2064011,0.5571098
-0.02097946,-0.1578572,-0.206301,0.5722151
-0.02292649,-0.1585312,-0.2058067,0.5897421
-0.02292649,-0.1585312,-0.2058067,0.6045651
-0.02374827,-0.1560043,-0.2039071,0.6214774
-0.02439339,-0.1553402,-0.2016307,0.63348
-0.02727321,-0.1549653,-0.1967904,0.6488726
-0.02727321,-0.1549653,-0.1967904,0.6629431
-0.02909816,-0.1532133,-0.1944311,0.6784694
-0.02928413,-0.1520114,-0.1935572,0.6935088
-0.02967625,-0.1511212,-0.1928527,0.7080769
-0.02967625,-0.1511212,-0.1928527,0.7254239
-0.03025653,-0.1492184,-0.1910714,0.7403064
-0.03068335,-0.1479757,-0.1904009,0.7553612
-0.03160422,-0.1468698,-0.1900252,0.7712764
-0.03160422,-0.1468698,-0.1900252,0.7834977
-0.03330186,-0.1462499,-0.188899,0.7990736
-0.03438903,-0.1457713,-0.188292,0.8129027
-0.03545228,-0.1449571,-0.1876786,0.8296765
-0.03545228,-0.1449571,-0.1876786,0.8449968
-0.03781587,-0.143819,-0.1866417,0.8584792
-0.03912209,-0.1435222,-0.1857305,0.8769188
-0.04003312,-0.143257,-0.1850442,0.8894295
-0.04003312,-0.143257,-0.1850442,0.9049732
-0.04244115,-0.1421837,-0.1838264,0.9189614
-0.04353062,-0.1414824,-0.1830935,0.9335208
-0.04518751,-0.1408443,-0.1824659,0.948576
-0.04518751,-0.1408443,-0.1824659,0.9629661
-0.04820192,-0.1402,-0.1808743,0.979672
-0.04999843,-0.1398449,-0.1798885,0.9946896
-0.05159967,-0.1391978,-0.1786984,1.012351
-0.05159967,-0.1391978,-0.1786984,1.025132
-0.05396468,-0.1372319,-0.1771094,1.038819
-0.05611965,-0.1353002,-0.1764744,1.054965
-0.05866254,-0.1326834,-0.1762598,1.071615
-0.05866254,-0.1326834,-0.1762598,1.084475
-0.06185497,-0.1288595,-0.1760384,1.100638
-0.06280181,-0.1270775,-0.17568,1.115967
-0.06374734,-0.1261635,-0.1749111,1.130684
-0.06413011,-0.1240269,-0.1721877,1.173647
