X, Y, Z, Time
-0.02122875,-0.1625052,-0.207066,0.0392927
-0.02122875,-0.1625052,-0.207066,0.056244
-0.02128921,-0.16203,-0.2070652,0.0666524
-0.02128921,-0.16203,-0.2070652,0.0763079
-0.02132948,-0.161909,-0.2070119,0.0867677
-0.02131431,-0.162708,-0.2070615,0.1020264
-0.02131431,-0.162708,-0.2070615,0.1190546
-0.02126734,-0.1605559,-0.2066142,0.1332939
-0.02065224,-0.1679286,-0.2063361,0.1486933
-0.02065441,-0.1634261,-0.2069508,0.1657552
-0.02042063,-0.1619371,-0.2071695,0.1843401
-0.02077292,-0.1597851,-0.2070777,0.201866
-0.02077292,-0.1597851,-0.2070777,0.2112866
-0.0204183,-0.1657296,-0.2070425,0.2273083
-0.02064279,-0.1636153,-0.2073132,0.2415287
-0.02064279,-0.1636153,-0.2073132,0.2564146
-0.02087419,-0.1607822,-0.2070589,0.2724854
-0.02093345,-0.1610785,-0.2070206,0.2865235
-0.02120988,-0.1616136,-0.2072645,0.3017881
-0.0208379,-0.1608481,-0.2069475,0.325011
-0.0208379,-0.1608481,-0.2069475,0.3347589
-0.02098391,-0.1626906,-0.2072598,0.343712
-0.02098391,-0.1626906,-0.2072598,0.3585644
-0.02076092,-0.1595005,-0.2069352,0.3756587
-0.02045733,-0.1610504,-0.2070537,0.3897976
-0.02082516,-0.1597009,-0.2066147,0.4046463
-0.02061542,-0.1582764,-0.2068142,0.4210595
-0.02061542,-0.1582764,-0.2068142,0.4354245
-0.02050335,-0.1565407,-0.206891,0.4499882
-0.0203276,-0.1555478,-0.2069552,0.4673836
-0.020118,-0.1547548,-0.2071154,0.4832171
-0.0205016,-0.1537506,-0.2066153,0.5012522
-0.0205016,-0.1537506,-0.2066153,0.5152932
-0.02061087,-0.152584,-0.2064879,0.527333
-0.02079265,-0.1518767,-0.2063399,0.5451993
-0.02079265,-0.1518767,-0.2063399,0.5584792
-0.0284663,-0.1530398,-0.2033933,0.5723462
-0.02854924,-0.1508822,-0.2032616,0.5871059
-0.02860538,-0.1499936,-0.2031788,0.6041209
-0.02860538,-0.1499936,-0.2031788,0.6183668
-0.0286602,-0.1491919,-0.2027416,0.6329159
-0.03066539,-0.148628,-0.2005942,0.6502541
-0.03172272,-0.1482879,-0.1996252,0.6623181
-0.03172272,-0.1482879,-0.1996252,0.6774324
-0.03325155,-0.1464398,-0.1978936,0.6952381
-0.03395216,-0.1454613,-0.1970981,0.7097954
-0.03518725,-0.1441025,-0.1964506,0.7274476
-0.03608987,-0.1430932,-0.195945,0.7411267
-0.03608987,-0.1430932,-0.195945,0.7560525
-0.03869095,-0.140845,-0.1948085,0.7744347
-0.03951786,-0.1400604,-0.194222,0.7864882
-0.04046523,-0.1393707,-0.1935503,0.8000141
-0.04046523,-0.1393707,-0.1935503,0.8161146
-0.04174554,-0.137179,-0.1920748,0.8316177
-0.04236963,-0.1362467,-0.1915858,0.8441332
-0.04321395,-0.1353744,-0.1911688,0.8596789
-0.04321395,-0.1353744,-0.1911688,0.8771969
-0.04397523,-0.1343905,-0.1899209,0.8905248
-0.04402631,-0.1342332,-0.1890857,0.9063664
-0.04391444,-0.1346577,-0.1882227,0.922719
-0.04391444,-0.1346577,-0.1882227,0.9365657
-0.04302173,-0.1350904,-0.1869361,0.950224
-0.04217181,-0.1356715,-0.1861043,0.9662058
-0.04130194,-0.1360572,-0.1853549,0.9825513
-0.04130194,-0.1360572,-0.1853549,0.9932818
-0.03966672,-0.1363405,-0.1843618,1.009334
-0.03869724,-0.1365504,-0.1834753,1.024552
-0.03745921,-0.1363619,-0.1825818,1.041097
-0.03745921,-0.1363619,-0.1825818,1.053957
-0.03559107,-0.134757,-0.1807153,1.068819
-0.03445096,-0.1328149,-0.1801087,1.086794
-0.03350826,-0.1313473,-0.179819,1.102237
-0.03350826,-0.1313473,-0.179819,1.118925
-0.03244589,-0.1290136,-0.1792248,1.132796
-0.03189498,-0.127948,-0.1785489,1.148466
-0.03098045,-0.1268134,-0.1780148,1.165757
-0.03098045,-0.1268134,-0.1780148,1.178422
-0.03006448,-0.1260538,-0.1766527,1.196184
-0.030091,-0.1258463,-0.1761718,1.209214
-0.0299665,-0.1255696,-0.175436,1.224476
-0.02996522,-0.1250622,-0.1747279,1.240764
-0.02996522,-0.1250622,-0.1747279,1.253363
-0.03060277,-0.1232364,-0.1743081,1.266785
-0.03137219,-0.1215964,-0.1744664,1.283271
-0.03137219,-0.1215964,-0.1744664,1.297897
-0.03284531,-0.1198245,-0.1744703,1.311164
-0.03360987,-0.1188166,-0.1742253,1.325634
