X, Y, Z, Time
-0.02117621,-0.1624759,-0.2069268,0.0227604
-0.02114267,-0.1625068,-0.2071779,0.0334545
-0.02111843,-0.1621906,-0.2071606,0.0573799
-0.02111843,-0.1621906,-0.2071606,0.0689299
-0.02093935,-0.1606302,-0.2068082,0.0970591
-0.02093935,-0.1606302,-0.2068082,0.1071394
-0.02010822,-0.1673363,-0.2063299,0.1290763
-0.02012008,-0.1639658,-0.2067292,0.1400756
-0.02012008,-0.1639658,-0.2067292,0.1519451
-0.02116723,-0.1684305,-0.2049774,0.1750483
-0.02116723,-0.1684305,-0.2049774,0.186802
-0.0210151,-0.1633062,-0.2050868,0.2083677
-0.0209166,-0.1619604,-0.2044267,0.2217776
-0.01987474,-0.1695635,-0.2040871,0.245695
-0.0199155,-0.1608723,-0.2034551,0.2544624
-0.0199155,-0.1608723,-0.2034551,0.2676646
-0.02047053,-0.1690289,-0.2031066,0.2899939
-0.02121584,-0.1641423,-0.2035757,0.3027083
-0.02092005,-0.1606301,-0.2028764,0.3298625
-0.0210127,-0.1618158,-0.2030641,0.3396019
-0.02024789,-0.179937,-0.1997266,0.3641759
-0.01938367,-0.1644001,-0.2009968,0.372704
-0.01947014,-0.1615928,-0.200834,0.3934447
-0.01947014,-0.1615928,-0.200834,0.4036452
-0.01882449,-0.1692971,-0.1995866,0.4166361
-0.01887161,-0.1622397,-0.1993763,0.4379401
-0.01870404,-0.1612502,-0.1984243,0.4531965
-0.01816382,-0.1680076,-0.1979229,0.4759388
-0.01816382,-0.1680076,-0.1979229,0.4852865
-0.01834816,-0.1612099,-0.1982581,0.5018824
-0.01764508,-0.1626649,-0.1983578,0.5244122
-0.01771079,-0.1630612,-0.1980689,0.5371262
-0.017903,-0.1630418,-0.1981147,0.5597649
-0.017903,-0.1630418,-0.1981147,0.568379
-0.01858446,-0.1628179,-0.1979049,0.5793167
-0.01881608,-0.1619796,-0.1974144,0.6036226
-0.01862833,-0.1622443,-0.1972426,0.6166633
-0.01869057,-0.1622391,-0.197787,0.6387416
-0.01830892,-0.1607202,-0.1973167,0.6710957
-0.0181498,-0.1595728,-0.1982176,0.6984176
-0.0163655,-0.1583047,-0.1982385,0.7233833
-0.01506402,-0.1576436,-0.1982446,0.7331457
-0.01346972,-0.1557525,-0.1964711,0.7575505
-0.01346972,-0.1557525,-0.1964711,0.7674797
-0.01440865,-0.1509837,-0.1973123,0.7897615
-0.01523157,-0.1491968,-0.1981119,0.7990321
-0.01523157,-0.1491968,-0.1981119,0.8085901
-0.01695348,-0.1452414,-0.199832,0.8301418
-0.01766764,-0.1441108,-0.2002218,0.8387175
-0.01766764,-0.1441108,-0.2002218,0.8520204
-0.01891479,-0.1404126,-0.2009079,0.8727403
-0.01891479,-0.1404126,-0.2009079,0.8855719
-0.01977907,-0.1358234,-0.2015985,0.9147161
-0.01977907,-0.1358234,-0.2015985,0.9284018
-0.02063831,-0.1308537,-0.2021857,0.9593839
-0.02063831,-0.1308537,-0.2021857,0.9718618
-0.02211238,-0.126277,-0.2031397,0.9953929
-0.02211238,-0.126277,-0.2031397,1.005034
-0.02255187,-0.1225561,-0.2036615,1.029716
-0.02247676,-0.1214833,-0.2033249,1.039788
-0.02231351,-0.1191806,-0.2034641,1.06321
-0.02231351,-0.1191806,-0.2034641,1.071428
-0.02223342,-0.1175577,-0.2034953,1.079969
-0.02223919,-0.1153834,-0.2036499,1.102349
-0.02223919,-0.1153834,-0.2036499,1.111678
-0.02224041,-0.1129894,-0.2030964,1.128328
-0.02244931,-0.1107161,-0.2030459,1.150632
-0.02240337,-0.109161,-0.2030948,1.162535
-0.02275269,-0.1069372,-0.2033298,1.1848
-0.02319702,-0.1058775,-0.2032657,1.196627
-0.02333937,-0.1042489,-0.202832,1.220555
-0.02333937,-0.1042489,-0.202832,1.230834
-0.02345902,-0.10217,-0.2018086,1.252206
-0.02345902,-0.10217,-0.2018086,1.261649
-0.0241743,-0.1013693,-0.2012897,1.276845
-0.02411,-0.1007176,-0.1998147,1.303305
-0.02429564,-0.1003342,-0.1994753,1.312172
-0.02455272,-0.09962155,-0.1985836,1.333208
-0.02455272,-0.09962155,-0.1985836,1.347112
-0.02465037,-0.0981105,-0.196979,1.368359
-0.02463849,-0.09750981,-0.1964398,1.377437
-0.02479044,-0.09670881,-0.1957997,1.395251
-0.02421404,-0.09545618,-0.1943026,1.417493
