X, Y, Z, Time
-0.02120125,-0.1624621,-0.2069982,0.0139202
-0.02120125,-0.1624621,-0.2069982,0.0280216
-0.02126815,-0.1614373,-0.2068534,0.0425974
-0.02128509,-0.1625771,-0.2068747,0.0589219
-0.02136616,-0.1623426,-0.2067679,0.0742756
-0.02136616,-0.1623426,-0.2067679,0.0909132
-0.02115576,-0.1630494,-0.2068317,0.1075391
-0.02119454,-0.1619317,-0.2067978,0.1224211
-0.0210407,-0.1616516,-0.2064656,0.1378534
-0.02105835,-0.1626328,-0.2067872,0.1541897
-0.02128335,-0.160814,-0.2067362,0.1734986
-0.02127171,-0.171064,-0.2052498,0.1945628
-0.02127171,-0.171064,-0.2052498,0.2039186
-0.02178805,-0.1643175,-0.2056476,0.2138384
-0.02178805,-0.1643175,-0.2056476,0.2315326
-0.02212231,-0.1621834,-0.2053811,0.2443713
-0.02272961,-0.1633796,-0.2056203,0.2602394
-0.02231513,-0.1627142,-0.2060068,0.2962296
-0.02267994,-0.1616453,-0.2056725,0.3145074
-0.02267994,-0.1616453,-0.2056725,0.3252196
-0.02271787,-0.1624908,-0.2056426,0.3335406
-0.02271787,-0.1624908,-0.2056426,0.3429962
-0.02252904,-0.1623682,-0.2057416,0.3551507
-0.02252904,-0.1623682,-0.2057416,0.3710551
-0.02248901,-0.1604787,-0.2057281,0.3843984
-0.02756693,-0.1600021,-0.2087718,0.3973398
-0.0273998,-0.1571433,-0.2090833,0.4152983
-0.0273998,-0.1571433,-0.2090833,0.4286636
-0.0270413,-0.1522573,-0.2095906,0.4425984
-0.02693482,-0.1491283,-0.2101121,0.4612261
-0.02696646,-0.1471366,-0.2102368,0.4752279
-0.02684511,-0.1451067,-0.2104473,0.4921824
-0.02684511,-0.1451067,-0.2104473,0.5055737
-0.02702193,-0.1421665,-0.2102332,0.5190772
-0.02702193,-0.1421665,-0.2102332,0.5312349
-0.02700385,-0.1391043,-0.2100589,0.5463094
-0.02736947,-0.1372826,-0.2100375,0.5610633
-0.02755744,-0.1354448,-0.2100941,0.576462
-0.02755744,-0.1354448,-0.2100941,0.5899059
-0.02850366,-0.1325177,-0.2102295,0.6042044
-0.02904399,-0.1309062,-0.2100915,0.6200227
-0.02928201,-0.1291747,-0.210035,0.6372164
-0.02928201,-0.1291747,-0.210035,0.6496469
-0.0300349,-0.1265328,-0.209588,0.6679052
-0.03067315,-0.1251709,-0.2097545,0.6812093
-0.03123959,-0.1238728,-0.2094252,0.6966656
-0.03123959,-0.1238728,-0.2094252,0.7116035
-0.03278507,-0.1205571,-0.2094911,0.7260817
-0.03347965,-0.1185888,-0.2096099,0.7409315
-0.03430126,-0.116984,-0.209686,0.7563028
-0.03538004,-0.1155193,-0.209657,0.7736863
-0.03538004,-0.1155193,-0.209657,0.7892621
-0.03694515,-0.1142024,-0.2094395,0.8059555
-0.0376986,-0.1141872,-0.2086257,0.8206335
-0.03789609,-0.1141219,-0.2080508,0.8351328
-0.03781841,-0.1138828,-0.207333,0.8522351
-0.03781841,-0.1138828,-0.207333,0.8642647
-0.03817941,-0.1136788,-0.2061903,0.8816568
-0.03835679,-0.113923,-0.2056044,0.895875
-0.03835679,-0.113923,-0.2056044,0.910803
-0.03927621,-0.1142021,-0.2048119,0.9271555
-0.039612,-0.1146274,-0.204258,0.940643
