X, Y, Z, Time
-0.02120828,-0.1624784,-0.2070077,0.0143899
-0.02132016,-0.1619386,-0.2073092,0.0325539
-0.02132007,-0.1623322,-0.2074971,0.0476041
-0.02132989,-0.1625899,-0.2074847,0.06465749
-0.02132989,-0.1625899,-0.2074847,0.0801771
-0.0213969,-0.1620967,-0.2075698,0.0964052
-0.02156674,-0.1631584,-0.2078725,0.1102911
-0.02157236,-0.1623765,-0.2077674,0.1245343
-0.02157236,-0.1623765,-0.2077674,0.1381366
-0.02128034,-0.1603769,-0.2075689,0.1606854
-0.02183621,-0.1651851,-0.2079967,0.1726894
-0.02194219,-0.1608008,-0.207559,0.1872802
-0.02194219,-0.1608008,-0.207559,0.2026053
-0.0218282,-0.1620607,-0.2075345,0.2160601
-0.02205544,-0.1611395,-0.2077286,0.2314098
-0.02193624,-0.1602176,-0.2074859,0.2481742
-0.02193624,-0.1602176,-0.2074859,0.2629584
-0.02189514,-0.1584445,-0.207943,0.2780795
-0.02183564,-0.1613627,-0.2077203,0.2947107
-0.02188161,-0.1593303,-0.207853,0.3099786
-0.021852,-0.1617811,-0.2076488,0.3249435
-0.021852,-0.1617811,-0.2076488,0.3406919
-0.02173158,-0.1594931,-0.2078121,0.353436
-0.0215017,-0.1617324,-0.2067137,0.3701448
-0.02198531,-0.1599535,-0.2068295,0.3859406
-0.02177083,-0.1598087,-0.2067971,0.4066737
-0.02177083,-0.1598087,-0.2067971,0.4196575
-0.02148032,-0.1597348,-0.2070485,0.4315579
-0.02148032,-0.1597348,-0.2070485,0.440261
-0.0215164,-0.1595749,-0.2067901,0.4593091
-0.0215037,-0.159517,-0.2066819,0.4708598
-0.02153243,-0.1594449,-0.2065159,0.486543
-0.02152104,-0.1590883,-0.2063008,0.5040804
-0.02152104,-0.1590883,-0.2063008,0.5178594
-0.02157263,-0.158451,-0.2059456,0.5319367
-0.02137767,-0.1579328,-0.2054446,0.5491095
-0.02143316,-0.1573117,-0.2051767,0.5637361
-0.02143316,-0.1573117,-0.2051767,0.5788594
-0.02206258,-0.1555952,-0.203706,0.5955873
-0.02150145,-0.1552888,-0.1981887,0.6105577
-0.02149207,-0.1541845,-0.1969792,0.6256797
