X, Y, Z, Time
-0.0212,-0.1624182,-0.207,0.02
-0.0212,-0.1624601,-0.207,0.04
-0.0212,-0.1624706,-0.207,0.14
-0.0212,-0.1624705,-0.207,0.1710324
-0.0212,-0.1624706,-0.207,0.1838441
-0.0212,-0.1624706,-0.207,0.193632
-0.0212,-0.1624706,-0.207,0.2055475
-0.0212,-0.1624706,-0.207,0.2147049
-0.0212,-0.1624705,-0.207,0.2311126
-0.0212,-0.1624706,-0.207,0.2456975
-0.0212,-0.1624706,-0.207,0.2595807
-0.0212,-0.1624706,-0.207,0.2826349
-0.0212,-0.1624706,-0.207,0.2934425
-0.0212,-0.1624705,-0.207,0.3061623
-0.0212,-0.1624706,-0.207,0.3201747
-0.0212,-0.1624706,-0.207,0.3355594
-0.0212,-0.1624705,-0.207,0.3520338
-0.0212,-0.1624706,-0.207,0.3665349
-0.0212,-0.1624706,-0.207,0.3797667
-0.0212,-0.1624705,-0.207,0.3981785
-0.0212,-0.1624706,-0.207,0.4118074
-0.0212,-0.1624706,-0.207,0.4290237
-0.0212,-0.1624706,-0.207,0.4451319
-0.0212,-0.1624706,-0.207,0.4597117
-0.0212,-0.1624706,-0.207,0.4729448
-0.0212,-0.1624706,-0.207,0.4890133
-0.0212,-0.1624706,-0.207,0.5059727
-0.0212,-0.1624706,-0.207,0.520311
-0.0212,-0.1624706,-0.207,0.5355933
-0.0212,-0.1624706,-0.207,0.5529239
-0.0212,-0.1624706,-0.207,0.5683869
-0.0212,-0.1624706,-0.207,0.5845559
-0.0212,-0.1624706,-0.207,0.5956395
-0.0212,-0.1624706,-0.207,0.6100656
-0.0212,-0.1624706,-0.207,0.6264374
-0.0212,-0.1624706,-0.207,0.655865
-0.0212,-0.1624706,-0.207,0.6655487
-0.0212,-0.1624706,-0.207,0.6753653
-0.0212,-0.1624706,-0.207,0.6885281
-0.0212,-0.1624706,-0.207,0.7032065
-0.0212,-0.1624706,-0.207,0.7194198
-0.0212,-0.1624706,-0.207,0.7373655
-0.0212,-0.1624706,-0.207,0.7504142
-0.0212,-0.1624706,-0.207,0.7660892
-0.0212,-0.1624706,-0.207,0.780806
-0.0212,-0.1624706,-0.207,0.7948565
-0.0212,-0.1624706,-0.207,0.810474
-0.0212,-0.1624706,-0.207,0.8272475
-0.0212,-0.1624706,-0.207,0.8409142
-0.0212,-0.1624706,-0.207,0.8571513
-0.0212,-0.1624706,-0.207,0.8734119
-0.0212,-0.1624706,-0.207,0.8875824
-0.0212,-0.1624706,-0.207,0.900895
-0.0212,-0.1624706,-0.207,0.9156531
-0.0212,-0.1624706,-0.207,0.9281138
-0.0212,-0.1624706,-0.207,0.945955
-0.0212,-0.1624706,-0.207,0.9591149
-0.0212,-0.1624706,-0.207,0.9738146
-0.0212,-0.1624706,-0.207,0.9896574
-0.0212,-0.1624706,-0.207,1.003831
-0.0212,-0.1624706,-0.207,1.020934
-0.0212,-0.1624706,-0.207,1.034516
-0.0212,-0.1624706,-0.207,1.04587
-0.0212,-0.1624706,-0.207,1.061275
-0.0212,-0.1624706,-0.207,1.079794
-0.0212,-0.1624706,-0.207,1.091431
-0.0212,-0.1624706,-0.207,1.106514
-0.0212,-0.1624706,-0.207,1.120637
-0.0212,-0.1624706,-0.207,1.138775
-0.0212,-0.1624706,-0.207,1.152975
-0.0212,-0.1624706,-0.207,1.168393
-0.0212,-0.1624706,-0.207,1.184937
-0.0212,-0.1624706,-0.207,1.197433
-0.0212,-0.1624706,-0.207,1.213185
-0.0212,-0.1624706,-0.207,1.248901
-0.0212,-0.1624706,-0.207,1.259563
-0.0212,-0.1624706,-0.207,1.267237
-0.0212,-0.1624706,-0.207,1.279351
-0.0212,-0.1624706,-0.207,1.294504
-0.0212,-0.1624706,-0.207,1.309845
-0.0212,-0.1624706,-0.207,1.324457
-0.0212,-0.1624706,-0.207,1.338789
-0.0212,-0.1624706,-0.207,1.353275
-0.0212,-0.1624706,-0.207,1.369541
-0.0212,-0.1624706,-0.207,1.386495
-0.0212,-0.1624706,-0.207,1.402586
-0.0212,-0.1624706,-0.207,1.416481
-0.0212,-0.1624706,-0.207,1.432336
-0.0212,-0.1624706,-0.207,1.445234
-0.0212,-0.1624706,-0.207,1.45997
-0.0212,-0.1624706,-0.207,1.473005
-0.0212,-0.1624706,-0.207,1.487409
-0.0212,-0.1624706,-0.207,1.504767
-0.0212,-0.1624706,-0.207,1.518444
-0.0212,-0.1624706,-0.207,1.535102
-0.0212,-0.1624706,-0.207,1.551296
-0.0212,-0.1624706,-0.207,1.565386
-0.0212,-0.1624706,-0.207,1.578161
-0.0212,-0.1624706,-0.207,1.600086
-0.0212,-0.1624706,-0.207,1.610435
-0.0212,-0.1624706,-0.207,1.625435
-0.0212,-0.1624706,-0.207,1.643126
-0.0212,-0.1624706,-0.207,1.656259
-0.0212,-0.1624706,-0.207,1.671079
-0.0212,-0.1624706,-0.207,1.688151
-0.0212,-0.1624706,-0.207,1.702551
-0.0212,-0.1624706,-0.207,1.718021
-0.0212,-0.1624706,-0.207,1.734575
-0.0212,-0.1624706,-0.207,1.746454
-0.0212,-0.1624706,-0.207,1.762052
-0.0212,-0.1624706,-0.207,1.779216
-0.0212,-0.1624706,-0.207,1.79135
-0.0212,-0.1624706,-0.207,1.806317
-0.0212,-0.1624706,-0.207,1.82167
-0.0212,-0.1624706,-0.207,1.8384
-0.0212,-0.1624706,-0.207,1.85258
-0.0212,-0.1624706,-0.207,1.867392
-0.0212,-0.1624706,-0.207,1.883924
-0.0212,-0.1624706,-0.207,1.896733
-0.0212,-0.1624706,-0.207,1.911599
-0.0212,-0.1624706,-0.207,1.929932
-0.0212,-0.1624706,-0.207,1.942356
-0.0212,-0.1624706,-0.207,1.958303
-0.0212,-0.1624706,-0.207,1.975119
-0.0212,-0.1624706,-0.207,1.988909
-0.0212,-0.1624706,-0.207,2.002167
-0.0212,-0.1624706,-0.207,2.016004
-0.0212,-0.1624706,-0.207,2.027586
-0.0212,-0.1624706,-0.207,2.044362
-0.0212,-0.1624706,-0.207,2.057296
-0.0212,-0.1624706,-0.207,2.074634
-0.0212,-0.1624706,-0.207,2.08933
-0.0212,-0.1624706,-0.207,2.107023
-0.0212,-0.1624706,-0.207,2.120377
-0.0212,-0.1624706,-0.207,2.133644
-0.0212,-0.1624706,-0.207,2.146205
-0.0212,-0.1624706,-0.207,2.164641
-0.0212,-0.1624706,-0.207,2.178529
-0.0212,-0.1624706,-0.207,2.195852
-0.0212,-0.1624706,-0.207,2.210582
-0.0212,-0.1624706,-0.207,2.22505
-0.0212,-0.1624706,-0.207,2.242378
-0.0212,-0.1624706,-0.207,2.256219
-0.0212,-0.1624706,-0.207,2.269512
-0.0212,-0.1624706,-0.207,2.283826
-0.0212,-0.1624706,-0.207,2.296622
-0.0212,-0.1624706,-0.207,2.331288
-0.0212,-0.1624706,-0.207,2.341336
-0.0212,-0.1624706,-0.207,2.349788
-0.0212,-0.1624706,-0.207,2.360238
-0.0212,-0.1624706,-0.207,2.37555
-0.0212,-0.1624706,-0.207,2.391803
