X, Y, Z, Time
-0.0211949,-0.1624731,-0.2070008,0.0299795
-0.02122468,-0.1619507,-0.2070299,0.0443232
-0.02120591,-0.1617405,-0.2069401,0.07471851
-0.02117589,-0.1617593,-0.2069451,0.0872469
-0.02113834,-0.1618219,-0.2070072,0.112202
-0.02113464,-0.1603786,-0.2068523,0.1221998
-0.02146497,-0.1729716,-0.2065986,0.1473928
-0.02099959,-0.1645682,-0.2070391,0.1564353
-0.02070778,-0.1608763,-0.2066337,0.1790735
-0.02070778,-0.1608763,-0.2066337,0.1886216
-0.02143213,-0.174495,-0.2063092,0.1980942
-0.02090664,-0.1638943,-0.2069069,0.2219209
-0.02090664,-0.1638943,-0.2069069,0.2332991
-0.02075348,-0.1689977,-0.2060159,0.2568246
-0.02075348,-0.1689977,-0.2060159,0.2672511
-0.02038179,-0.163442,-0.2061364,0.2900023
-0.02031752,-0.1626987,-0.2057747,0.3002586
-0.01994916,-0.1624052,-0.2058049,0.3229238
-0.01994916,-0.1624052,-0.2058049,0.3328175
-0.02012488,-0.1607897,-0.2057059,0.3480838
-0.02009418,-0.1620677,-0.2057047,0.3697616
-0.02015189,-0.1612636,-0.2050097,0.3833274
-0.02004193,-0.1625007,-0.2047258,0.4070797
-0.01905214,-0.160897,-0.204136,0.4159625
-0.01905214,-0.160897,-0.204136,0.4270043
-0.01846175,-0.1649136,-0.2042862,0.4513603
-0.01882066,-0.1627131,-0.2037995,0.4625829
-0.0192978,-0.1669196,-0.2037653,0.4848286
-0.01930114,-0.1628467,-0.2045273,0.4971876
-0.02071733,-0.163745,-0.1998646,0.5208485
-0.02071733,-0.163745,-0.1998646,0.5298248
-0.0206417,-0.161149,-0.1998723,0.5412483
-0.0271905,-0.159841,-0.1915876,0.5684115
-0.02782273,-0.1587276,-0.1890672,0.5776851
-0.0287761,-0.1552273,-0.1885369,0.6008292
-0.0287761,-0.1552273,-0.1885369,0.6114044
-0.03034952,-0.1507821,-0.1877108,0.6330941
-0.03110539,-0.1491283,-0.1873459,0.6423064
-0.03439637,-0.1430416,-0.1866225,0.679444
-0.03655872,-0.1376227,-0.1867509,0.7080979
-0.03723425,-0.1347815,-0.1868294,0.718438
-0.03976063,-0.1293674,-0.1875226,0.7427971
-0.03976063,-0.1293674,-0.1875226,0.7524219
-0.04362372,-0.1208796,-0.187969,0.7760242
-0.04362372,-0.1208796,-0.187969,0.785596
-0.04673465,-0.1145111,-0.1874941,0.8087732
-0.04818228,-0.1121186,-0.1874411,0.8175772
-0.04818228,-0.1121186,-0.1874411,0.8266628
-0.05175194,-0.1051986,-0.1878083,0.8492407
-0.05346569,-0.1020282,-0.1877276,0.8605651
-0.05761971,-0.09569199,-0.1884676,0.8907745
-0.05956533,-0.09249871,-0.1886845,0.9035568
-0.06411586,-0.0864261,-0.1890099,0.9357494
-0.06567692,-0.08420475,-0.1886432,0.9468701
-0.06908527,-0.07983701,-0.1882234,0.9732209
-0.07064247,-0.07789831,-0.1879557,0.9830472
-0.07448471,-0.07365661,-0.1876758,1.007477
-0.07644179,-0.07177274,-0.1876034,1.017256
-0.08029084,-0.06824581,-0.1869386,1.041029
-0.08029084,-0.06824581,-0.1869386,1.05041
-0.08544186,-0.06305057,-0.1861232,1.072736
-0.08758533,-0.06080453,-0.1859089,1.082412
-0.08758533,-0.06080453,-0.1859089,1.091407
-0.09229092,-0.05536006,-0.1859418,1.112348
-0.09261301,-0.05325298,-0.1859924,1.126247
-0.09191596,-0.05011589,-0.1864382,1.149906
-0.09116407,-0.04865188,-0.1871242,1.158833
-0.09116407,-0.04865188,-0.1871242,1.173322
-0.08806789,-0.04433681,-0.1885565,1.208576
-0.0890427,-0.04192595,-0.1889928,1.234034
-0.08893485,-0.04032413,-0.1894623,1.243626
