X, Y, Z, Time
-0.02142804,-0.1624648,-0.2060683,0.0291724
-0.02149161,-0.1622186,-0.2061614,0.0395035
-0.02158492,-0.1617805,-0.2063139,0.0670763
-0.02158492,-0.1617805,-0.2063139,0.07694159
-0.02191125,-0.1654956,-0.2081488,0.1041952
-0.0218682,-0.1626005,-0.2081838,0.1276828
-0.0218682,-0.1626005,-0.2081838,0.1360671
-0.02196386,-0.1620099,-0.2082375,0.1431983
-0.02193214,-0.1611812,-0.2080602,0.170614
-0.02193214,-0.1611812,-0.2080602,0.1787645
-0.02199733,-0.1612546,-0.208138,0.2058735
-0.02199733,-0.1612546,-0.208138,0.2149047
-0.02200096,-0.1609679,-0.2081585,0.2466821
-0.02576659,-0.1506403,-0.2096861,0.2665928
-0.02433514,-0.1359072,-0.2103103,0.275081
-0.02433514,-0.1359072,-0.2103103,0.2835315
-0.02156288,-0.1234069,-0.2130723,0.3145955
-0.02156288,-0.1234069,-0.2130723,0.323695
-0.02097133,-0.1408849,-0.2118926,0.3505789
-0.02097133,-0.1408849,-0.2118926,0.3592126
-0.02197609,-0.162423,-0.2113809,0.3806254
-0.02197609,-0.162423,-0.2113809,0.3885351
-0.02197609,-0.162423,-0.2113809,0.3953563
-0.02197522,-0.1624558,-0.211382,0.425404
-0.02197522,-0.1624558,-0.211382,0.435597
-0.02197521,-0.1624559,-0.2113816,0.4627236
-0.02197521,-0.1624559,-0.2113816,0.4722225
-0.02197523,-0.1624547,-0.2113816,0.5013152
-0.02197523,-0.1624547,-0.2113816,0.5114321
-0.02197523,-0.1624548,-0.2113816,0.541182
-0.02197523,-0.1624548,-0.2113816,0.551433
-0.02197523,-0.1624548,-0.2113816,0.5785732
-0.02197523,-0.1624548,-0.2113816,0.5892842
-0.02197523,-0.1624548,-0.2113816,0.6175672
-0.02197523,-0.1624549,-0.2113816,0.6267081
-0.02197523,-0.1624548,-0.2113816,0.6576688
-0.02197523,-0.1624548,-0.2113816,0.6860822
-0.02197523,-0.1624548,-0.2113816,0.707857
-0.02197523,-0.1624548,-0.2113816,0.7156997
-0.02197523,-0.1624548,-0.2113816,0.7229493
-0.02197523,-0.1624548,-0.2113816,0.7558394
-0.02197523,-0.1624548,-0.2113816,0.7673675
-0.02197523,-0.1624548,-0.2113816,0.7959148
-0.02197523,-0.1624548,-0.2113816,0.8057286
-0.02197523,-0.1624548,-0.2113816,0.8337836
-0.02197523,-0.1624548,-0.2113816,0.8441542
-0.02197523,-0.1624548,-0.2113816,0.8733644
-0.02197523,-0.1624548,-0.2113816,0.8842648
-0.02197523,-0.1624548,-0.2113816,0.9183851
-0.02197523,-0.1624548,-0.2113816,0.9312155
-0.02197523,-0.1624548,-0.2113816,0.952621
-0.02197523,-0.1624548,-0.2113816,0.9611048
-0.02197523,-0.1624548,-0.2113816,0.9917223
-0.02197523,-0.1624548,-0.2113816,1.000673
-0.02197523,-0.1624548,-0.2113816,1.028207
-0.02197523,-0.1624548,-0.2113816,1.040908
-0.02197563,-0.1624539,-0.2113807,1.069992
