X, Y, Z, Time
-0.02363274,-0.1624657,-0.2026741,0.0122431
-0.02363274,-0.1624657,-0.2026741,0.0281493
-0.02363274,-0.1624657,-0.2026741,0.0438142
-0.02363274,-0.1624657,-0.2026741,0.0571418
-0.02363274,-0.1624657,-0.2026741,0.0714073
-0.02363274,-0.1624657,-0.2026741,0.08480079
-0.02363274,-0.1624657,-0.2026741,0.09752409
-0.02363274,-0.1624657,-0.2026741,0.1119365
-0.02363274,-0.1624657,-0.2026741,0.1254754
-0.02363274,-0.1624657,-0.2026741,0.1392193
-0.02363274,-0.1624657,-0.2026741,0.1534793
-0.02363274,-0.1624657,-0.2026741,0.168832
-0.02363274,-0.1624657,-0.2026741,0.1802114
-0.02363274,-0.1624657,-0.2026741,0.1952035
-0.02363274,-0.1624657,-0.2026741,0.2100871
-0.02363274,-0.1624657,-0.2026741,0.2231336
-0.02363274,-0.1624657,-0.2026741,0.2362766
-0.02363274,-0.1624657,-0.2026741,0.2505796
-0.02363274,-0.1624657,-0.2026741,0.2628603
-0.02363274,-0.1624657,-0.2026741,0.2778744
-0.02363274,-0.1624657,-0.2026741,0.2928134
-0.02363274,-0.1624657,-0.2026741,0.3073609
-0.02363274,-0.1624657,-0.2026741,0.322037
-0.02363274,-0.1624657,-0.2026741,0.3358788
-0.02363274,-0.1624657,-0.2026741,0.3494908
-0.02363274,-0.1624657,-0.2026741,0.3621332
-0.02363274,-0.1624657,-0.2026741,0.3753329
-0.02363274,-0.1624657,-0.2026741,0.3961984
-0.02363274,-0.1624657,-0.2026741,0.4060067
-0.02363274,-0.1624657,-0.2026741,0.4194329
-0.02363274,-0.1624657,-0.2026741,0.4343773
-0.02363274,-0.1624657,-0.2026741,0.4464974
-0.02363274,-0.1624657,-0.2026741,0.4616021
-0.02363274,-0.1624657,-0.2026741,0.4745815
-0.02363274,-0.1624657,-0.2026741,0.4896579
-0.02363274,-0.1624657,-0.2026741,0.5031797
-0.02363274,-0.1624657,-0.2026741,0.5172455
-0.02363274,-0.1624657,-0.2026741,0.5308493
-0.02363274,-0.1624657,-0.2026741,0.5607316
-0.02363274,-0.1624657,-0.2026741,0.5684655
-0.02363274,-0.1624657,-0.2026741,0.5759928
-0.02363274,-0.1624657,-0.2026741,0.5878068
-0.02363274,-0.1624657,-0.2026741,0.6027474
-0.02363254,-0.1624699,-0.2026747,0.6310304
-0.02363254,-0.1624699,-0.2026747,0.6392142
-0.02363283,-0.1624701,-0.2026738,0.6462377
-0.02363283,-0.1624701,-0.2026738,0.6607797
-0.0239722,-0.1612939,-0.2029215,0.6749792
-0.03242941,-0.1687464,-0.2111502,0.6893172
-0.03242941,-0.1687464,-0.2111502,0.7040459
-0.03222241,-0.1613946,-0.2111339,0.7182294
-0.03100601,-0.1634886,-0.212529,0.7310811
-0.03210554,-0.1625933,-0.2103356,0.7454735
-0.03210554,-0.1625933,-0.2103356,0.7604665
-0.03748598,-0.1675777,-0.2136523,0.7759305
-0.03578724,-0.1601557,-0.2143082,0.7889899
-0.04725798,-0.1784842,-0.216738,0.8079935
-0.04725798,-0.1784842,-0.216738,0.8236137
-0.04674407,-0.1657977,-0.2180813,0.8364879
-0.04738531,-0.1632545,-0.2185428,0.8454465
-0.04738531,-0.1632545,-0.2185428,0.8601041
-0.04754726,-0.1739039,-0.2193855,0.8742858
-0.04730575,-0.1606722,-0.2205203,0.8882269
-0.04730575,-0.1606722,-0.2205203,0.9028367
-0.04990797,-0.1761342,-0.2198053,0.9174176
-0.04889932,-0.1622445,-0.2195494,0.9301468
-0.04961737,-0.1588188,-0.2195558,0.9476258
-0.04961737,-0.1588188,-0.2195558,0.9581354
-0.05097884,-0.1713194,-0.2204658,0.9718383
-0.05061143,-0.1609559,-0.2206181,0.9861189
-0.05061143,-0.1609559,-0.2206181,1.001322
-0.05075777,-0.1641656,-0.220688,1.015563
-0.0514118,-0.1619421,-0.2201489,1.027948
-0.0514118,-0.1619421,-0.2201489,1.043151
-0.05295257,-0.1756651,-0.2197577,1.057691
-0.0528388,-0.1618356,-0.2197617,1.071061
-0.0528388,-0.1618356,-0.2197617,1.08458
-0.05341436,-0.1661313,-0.2217159,1.09662
-0.05286257,-0.1625498,-0.221701,1.111417
-0.05273027,-0.1617159,-0.2218812,1.126605
-0.05273027,-0.1617159,-0.2218812,1.140499
-0.05300232,-0.1660311,-0.2216299,1.153248
-0.0522934,-0.1608967,-0.2215357,1.167998
-0.0522934,-0.1608967,-0.2215357,1.182613
-0.05256838,-0.1702142,-0.2209334,1.194376
-0.05241335,-0.1612346,-0.221816,1.210109
-0.05241335,-0.1612346,-0.221816,1.22232
-0.05104125,-0.1682275,-0.2210067,1.23775
-0.05179132,-0.1632694,-0.2204413,1.251491
-0.05179132,-0.1632694,-0.2204413,1.263706
-0.050782,-0.1629805,-0.2200871,1.277985
-0.0512102,-0.1626161,-0.220271,1.293306
-0.05146047,-0.1625299,-0.2202186,1.306732
-0.05146047,-0.1625299,-0.2202186,1.319991
-0.0507642,-0.1641158,-0.2213119,1.334132
-0.05075048,-0.1624631,-0.2201324,1.34993
-0.05075048,-0.1624631,-0.2201324,1.362909
-0.05072588,-0.162111,-0.2210782,1.377652
-0.0505381,-0.1620826,-0.2200646,1.39288
-0.05010078,-0.161593,-0.2216424,1.407037
-0.05010078,-0.161593,-0.2216424,1.421511
-0.05014708,-0.1601083,-0.2216794,1.434523
-0.05085394,-0.1593605,-0.2208772,1.447032
-0.05085394,-0.1593605,-0.2208772,1.461151
-0.05060787,-0.1581214,-0.2208518,1.474491
-0.04879483,-0.1572422,-0.2203623,1.490638
-0.04879483,-0.1572422,-0.2203623,1.503864
-0.04573373,-0.1554489,-0.2206086,1.517971
-0.04360052,-0.1545493,-0.2206039,1.533761
-0.04348699,-0.1537726,-0.2207841,1.547599
-0.04348699,-0.1537726,-0.2207841,1.562129
-0.04276713,-0.1521472,-0.2195625,1.576492
-0.04298231,-0.1508401,-0.2195863,1.589681
-0.04298231,-0.1508401,-0.2195863,1.604033
-0.04385535,-0.147652,-0.2199101,1.618822
-0.04397538,-0.1457822,-0.2201394,1.634076
-0.04406217,-0.1442741,-0.2204115,1.646408
-0.04409134,-0.1416556,-0.2207664,1.676625
-0.04409134,-0.1416556,-0.2207664,1.684623
-0.0442501,-0.1409234,-0.2208335,1.691756
-0.04426214,-0.1408101,-0.2207849,1.705377
-0.04426214,-0.1408101,-0.2207849,1.719047
-0.04455861,-0.1406478,-0.2207135,1.730558
-0.04435455,-0.1415311,-0.2202366,1.744916
-0.04435455,-0.1415311,-0.2202366,1.759755
-0.04326486,-0.1434507,-0.2191862,1.772556
-0.04295051,-0.1445342,-0.2186439,1.787542
-0.04295051,-0.1445342,-0.2186439,1.79996
-0.04227083,-0.1456906,-0.2179672,1.812605
-0.04150366,-0.1459481,-0.2177373,1.827734
-0.04150366,-0.1459481,-0.2177373,1.842582
-0.03968893,-0.1473541,-0.2168743,1.856133
-0.03876257,-0.1488388,-0.2160396,1.871773
-0.03753954,-0.1502169,-0.215168,1.887973
-0.03753954,-0.1502169,-0.215168,1.903527
-0.03491251,-0.153145,-0.2130316,1.91603
-0.03362145,-0.1546389,-0.2120717,1.928912
-0.03362145,-0.1546389,-0.2120717,1.94268
-0.03133612,-0.1574254,-0.2103738,1.957346
-0.03137675,-0.1571731,-0.2102668,1.973284
-0.0313988,-0.1570023,-0.2101937,1.988861
-0.0313988,-0.1570023,-0.2101937,2.001638
-0.03144807,-0.1567086,-0.210042,2.013321
-0.03140962,-0.1566127,-0.2100758,2.028232
-0.03140962,-0.1566127,-0.2100758,2.043724
-0.03140059,-0.1564836,-0.2100362,2.062303
-0.03135125,-0.1564583,-0.2100766,2.072044
-0.03133738,-0.1564472,-0.2100623,2.087564
-0.03133738,-0.1564472,-0.2100623,2.100823
-0.03127805,-0.1562266,-0.210076,2.112807
-0.03123648,-0.1560456,-0.2101131,2.129065
-0.03123648,-0.1560456,-0.2101131,2.14224
-0.03116992,-0.1556878,-0.2101833,2.156962
-0.03114753,-0.1555654,-0.2102101,2.172911
-0.03111406,-0.1554143,-0.2102632,2.185747
-0.03111406,-0.1554143,-0.2102632,2.197182
-0.03113585,-0.1551159,-0.2102275,2.211538
-0.0309969,-0.155407,-0.2104273,2.226971
-0.0309969,-0.155407,-0.2104273,2.240197
-0.03105693,-0.1549827,-0.2102557,2.254329
-0.03116755,-0.1550823,-0.2102567,2.291751
-0.03119025,-0.1552524,-0.2102358,2.307667
-0.03119025,-0.1552524,-0.2102358,2.315167
-0.03119025,-0.1552524,-0.2102358,2.323327
-0.03097794,-0.1560642,-0.2104604,2.335892
-0.03082314,-0.1561002,-0.2104682,2.350492
-0.03082314,-0.1561002,-0.2104682,2.363048
-0.03089213,-0.1546987,-0.2103748,2.377405
-0.03090699,-0.1544647,-0.2103744,2.39174
-0.03103643,-0.1553956,-0.2102883,2.40663
-0.03103643,-0.1553956,-0.2102883,2.421914
-0.03105974,-0.1549713,-0.2103959,2.435011
-0.03101908,-0.1550354,-0.2103454,2.447216
-0.03101908,-0.1550354,-0.2103454,2.46169
-0.03116015,-0.1555304,-0.210275,2.476911
-0.03115721,-0.155813,-0.2103035,2.491511
-0.031193,-0.1560219,-0.2102787,2.505765
-0.031193,-0.1560219,-0.2102787,2.521528
-0.0312961,-0.156421,-0.2102354,2.533656
-0.03135331,-0.1566102,-0.2102248,2.545854
-0.03135331,-0.1566102,-0.2102248,2.5603
-0.03140811,-0.156695,-0.2102276,2.574736
-0.03146398,-0.156723,-0.2102837,2.588975
-0.03146398,-0.156723,-0.2102837,2.60324
-0.03317695,-0.1558287,-0.2093695,2.618368
-0.0335174,-0.1554134,-0.2094907,2.631874
-0.03376793,-0.1552033,-0.209635,2.649206
-0.03376793,-0.1552033,-0.209635,2.661436
-0.03401848,-0.1544326,-0.2100811,2.675467
-0.0342171,-0.1535612,-0.2105022,2.690718
-0.0342171,-0.1535612,-0.2105022,2.704605
-0.0346368,-0.151891,-0.2114016,2.718828
-0.03470174,-0.1511884,-0.21173,2.733876
-0.03475093,-0.1505235,-0.2120744,2.746234
-0.03475093,-0.1505235,-0.2120744,2.760954
-0.03479188,-0.1494428,-0.2126476,2.775196
-0.03461624,-0.1485557,-0.2130017,2.788977
-0.03461624,-0.1485557,-0.2130017,2.803347
-0.03456641,-0.1462975,-0.2140069,2.818606
-0.03475803,-0.1450424,-0.2144717,2.832147
-0.03470446,-0.143993,-0.2148953,2.847059
-0.03470446,-0.143993,-0.2148953,2.861562
-0.03481583,-0.1424872,-0.215467,2.875333
-0.03473492,-0.1412936,-0.2158724,2.890273
-0.03473492,-0.1412936,-0.2158724,2.904136
-0.0347833,-0.139386,-0.2163972,2.916887
-0.03485698,-0.1381733,-0.2166944,2.929472
-0.03481344,-0.1367609,-0.217091,2.945395
-0.03481344,-0.1367609,-0.217091,2.958066
-0.0346246,-0.1349997,-0.2176653,2.97096
-0.03489079,-0.1341338,-0.2179186,2.985718
-0.03489079,-0.1341338,-0.2179186,3.000609
-0.03528547,-0.1319201,-0.2185435,3.01257
-0.03555943,-0.1308227,-0.2187604,3.027532
-0.03555943,-0.1308227,-0.2187604,3.042506
-0.03571403,-0.1291622,-0.2190144,3.055898
-0.03602116,-0.1280672,-0.2192153,3.070549
-0.03585926,-0.1269949,-0.2192094,3.085856
-0.03585926,-0.1269949,-0.2192094,3.101684
-0.03570401,-0.1258516,-0.2187776,3.116182
-0.03570472,-0.1251931,-0.2182995,3.128657
-0.03570472,-0.1251931,-0.2182995,3.143912
-0.03513825,-0.1240774,-0.2175575,3.158912
-0.03519719,-0.1235438,-0.2170519,3.172682
-0.03524364,-0.1228276,-0.2167823,3.185724
-0.03524364,-0.1228276,-0.2167823,3.197796
-0.03506414,-0.1217824,-0.2159919,3.213432
-0.03520211,-0.1207869,-0.2157286,3.22751
-0.03520211,-0.1207869,-0.2157286,3.241977
-0.03540249,-0.1190116,-0.2150736,3.256727
-0.03581995,-0.1180287,-0.2146669,3.272836
-0.03607406,-0.1170412,-0.2144331,3.287843
-0.03607406,-0.1170412,-0.2144331,3.30165
-0.03654753,-0.1158665,-0.21387,3.313624
-0.03687848,-0.1152232,-0.2134555,3.328802
-0.03687848,-0.1152232,-0.2134555,3.343564
-0.03775264,-0.1144864,-0.212659,3.357552
-0.0385543,-0.1143344,-0.2120921,3.372256
-0.0392952,-0.1146833,-0.2112186,3.385902
-0.0392952,-0.1146833,-0.2112186,3.397224
-0.04081601,-0.1158193,-0.2092163,3.411439
-0.04164275,-0.1162698,-0.2080332,3.426346
-0.04164275,-0.1162698,-0.2080332,3.439768
-0.0433789,-0.1171105,-0.2061446,3.45403
-0.04475769,-0.1182049,-0.205008,3.468823
-0.04475769,-0.1182049,-0.205008,3.483877
-0.04660744,-0.1207426,-0.2028796,3.496214
-0.04794353,-0.1221575,-0.2014497,3.511442
-0.04891981,-0.1225698,-0.2006866,3.524946
-0.04891981,-0.1225698,-0.2006866,3.539303
-0.05094268,-0.1232381,-0.1990951,3.555285
-0.05192008,-0.1238748,-0.1981181,3.568039
-0.05192008,-0.1238748,-0.1981181,3.579612
-0.05298296,-0.1248856,-0.1962679,3.594058
-0.05400266,-0.1247352,-0.1957418,3.609311
-0.05400266,-0.1247352,-0.1957418,3.622631
-0.05570079,-0.1247138,-0.1948062,3.636822
-0.0567961,-0.125315,-0.1939389,3.651497
-0.0567961,-0.125315,-0.1939389,3.664308
-0.05837025,-0.1268878,-0.1923637,3.678563
-0.05930659,-0.1279877,-0.1914607,3.691911
-0.06016316,-0.1285919,-0.1908912,3.705927
-0.06016316,-0.1285919,-0.1908912,3.720294
-0.06207525,-0.1301865,-0.1893732,3.734467
-0.06290213,-0.1310079,-0.1885676,3.750198
-0.06290213,-0.1310079,-0.1885676,3.763787
-0.06463879,-0.1325204,-0.1872895,3.777939
-0.06555112,-0.133121,-0.1867727,3.793099
-0.06597993,-0.1333311,-0.1863983,3.807228
-0.06597993,-0.1333311,-0.1863983,3.820147
-0.06738394,-0.1337959,-0.1857031,3.834638
-0.06803464,-0.1342254,-0.1852553,3.846822
-0.06803464,-0.1342254,-0.1852553,3.861243
-0.06860139,-0.134763,-0.184717,3.875915
-0.06914468,-0.1348851,-0.1845801,3.888748
-0.06914468,-0.1348851,-0.1845801,3.902718
