X, Y, Z, Time
-0.02168628,-0.1624743,-0.2045244,0.0136302
-0.02186836,-0.1617458,-0.2053372,0.029067
-0.02186836,-0.1617458,-0.2053372,0.0441208
-0.02212956,-0.1631469,-0.2057898,0.0639956
-0.02294505,-0.1650998,-0.205542,0.0797975
-0.02230903,-0.1642209,-0.2064974,0.0938883
-0.02230903,-0.1642209,-0.2064974,0.1039265
-0.02194114,-0.1634401,-0.2072092,0.1168414
-0.02310043,-0.1628244,-0.2069145,0.1307401
-0.04677879,-0.1779189,-0.225098,0.1495935
-0.04677879,-0.1779189,-0.225098,0.1573441
-0.0451791,-0.161953,-0.2250043,0.1703685
-0.0451791,-0.161953,-0.2250043,0.1851126
-0.04543477,-0.1594326,-0.2250561,0.1988999
-0.0502031,-0.179726,-0.2270347,0.2133996
-0.04940532,-0.1631717,-0.2271543,0.2285219
-0.04940532,-0.1631717,-0.2271543,0.2424683
-0.05002157,-0.1618758,-0.2271916,0.2554581
-0.04966546,-0.1631908,-0.2265404,0.2711243
-0.04966546,-0.1631908,-0.2265404,0.2853633
-0.04933,-0.1596719,-0.2267716,0.2983547
-0.06928931,-0.1858925,-0.2269316,0.312909
-0.06639344,-0.1639599,-0.227353,0.327655
-0.06639344,-0.1639599,-0.227353,0.3404759
-0.0671173,-0.1631256,-0.226691,0.3553317
-0.06700637,-0.1617568,-0.2264877,0.370241
-0.06700637,-0.1617568,-0.2264877,0.3848967
-0.06773547,-0.1603966,-0.2258559,0.3982279
-0.06703226,-0.1627231,-0.2248985,0.4131876
-0.06646402,-0.1596914,-0.2253639,0.4278692
-0.06646402,-0.1596914,-0.2253639,0.4425165
-0.06482022,-0.1678726,-0.2243105,0.4550248
-0.0658277,-0.1573768,-0.2242101,0.470318
-0.0658277,-0.1573768,-0.2242101,0.4843044
-0.0652714,-0.1623288,-0.2239506,0.4985818
-0.06532203,-0.1601639,-0.2237875,0.5136207
-0.06470071,-0.163068,-0.2237398,0.5281636
-0.06470071,-0.163068,-0.2237398,0.5429537
-0.06508369,-0.1615238,-0.2239102,0.5548145
-0.06490508,-0.1668377,-0.225012,0.5701532
-0.06490508,-0.1668377,-0.225012,0.5828195
-0.06510482,-0.1580196,-0.2238987,0.5963805
-0.06468692,-0.162959,-0.2241873,0.6114556
-0.06468692,-0.162959,-0.2241873,0.6249744
-0.06492977,-0.1610984,-0.2242837,0.6377113
-0.06443636,-0.1664762,-0.2246737,0.6540481
-0.06452945,-0.1593173,-0.2236976,0.667196
-0.06452945,-0.1593173,-0.2236976,0.681241
-0.06463313,-0.1633494,-0.2243425,0.696942
-0.06411191,-0.1618326,-0.2239075,0.713118
-0.06402057,-0.1640179,-0.2241376,0.7282264
-0.06402057,-0.1640179,-0.2241376,0.739893
-0.06418848,-0.1609813,-0.2238268,0.7544184
-0.06430943,-0.163538,-0.2243177,0.7914307
-0.06430943,-0.163538,-0.2243177,0.7998438
-0.06441397,-0.1624806,-0.2239369,0.8152971
-0.06441397,-0.1624806,-0.2239369,0.8300088
-0.0644937,-0.162162,-0.2241398,0.8478721
-0.06445486,-0.1634991,-0.2242966,0.8641725
-0.06446985,-0.1616842,-0.2246872,0.8788797
-0.06481557,-0.172234,-0.2243241,0.8908522
-0.06481557,-0.172234,-0.2243241,0.9034598
-0.06543736,-0.1636529,-0.2243793,0.916347
-0.06650638,-0.1604033,-0.2245224,0.9324257
-0.06650638,-0.1604033,-0.2245224,0.9473094
-0.0666663,-0.1806006,-0.2241827,0.9618751
-0.06670319,-0.1644629,-0.2236638,0.9756786
-0.06670319,-0.1644629,-0.2236638,0.9894186
-0.06695356,-0.1668392,-0.2246659,1.001163
-0.06667444,-0.1700094,-0.2281169,1.016467
-0.06521509,-0.1603511,-0.2299307,1.030336
-0.06521509,-0.1603511,-0.2299307,1.043349
-0.06554664,-0.1684585,-0.2306278,1.057652
-0.06610878,-0.1635813,-0.230546,1.073368
-0.06610878,-0.1635813,-0.230546,1.087605
-0.06644209,-0.1734616,-0.2315139,1.099406
-0.06715637,-0.1640068,-0.2307612,1.115042
-0.06715637,-0.1640068,-0.2307612,1.128331
-0.06783976,-0.1615457,-0.2312506,1.143076
-0.06889857,-0.174378,-0.2318343,1.156997
-0.06893057,-0.164066,-0.2311637,1.171621
-0.06893057,-0.164066,-0.2311637,1.183629
-0.0691466,-0.1622488,-0.2312379,1.197825
-0.06962165,-0.1707916,-0.2310725,1.213544
-0.06962165,-0.1707916,-0.2310725,1.227258
-0.06973296,-0.1641994,-0.2307618,1.240171
-0.06990588,-0.162643,-0.2306429,1.254642
-0.06990588,-0.162643,-0.2306429,1.268248
-0.07028181,-0.1651869,-0.2307006,1.283002
-0.07052784,-0.1623494,-0.2305606,1.296777
-0.07078911,-0.161017,-0.2307704,1.31135
-0.07078911,-0.161017,-0.2307704,1.325275
-0.07073953,-0.16114,-0.2307484,1.337887
-0.07085415,-0.1604894,-0.230807,1.354213
-0.07085415,-0.1604894,-0.230807,1.365255
-0.0718938,-0.1592193,-0.2317037,1.379173
-0.07400823,-0.1585337,-0.2316952,1.394033
-0.07400823,-0.1585337,-0.2316952,1.409162
-0.07478213,-0.1561287,-0.2320704,1.421985
-0.0750076,-0.1544742,-0.2322931,1.434302
-0.0750076,-0.1544742,-0.2322931,1.448526
-0.07548171,-0.1517551,-0.2325009,1.462994
-0.07580426,-0.150482,-0.2324593,1.477382
-0.07594041,-0.1491265,-0.2325933,1.490449
-0.07594041,-0.1491265,-0.2325933,1.504457
-0.07597114,-0.1473344,-0.2322601,1.517046
-0.07620065,-0.1441607,-0.2324781,1.54756
-0.07646588,-0.1435029,-0.2323577,1.555377
-0.07646588,-0.1435029,-0.2323577,1.56308
-0.07682122,-0.1419665,-0.2324054,1.575706
-0.0771314,-0.1410587,-0.2323518,1.591011
-0.0771314,-0.1410587,-0.2323518,1.60552
-0.07763614,-0.1396706,-0.2321845,1.616487
-0.07787985,-0.1390346,-0.2320666,1.631431
-0.07787985,-0.1390346,-0.2320666,1.646862
-0.07855713,-0.1389113,-0.2312712,1.673413
-0.07855713,-0.1389113,-0.2312712,1.681475
-0.07855713,-0.1389113,-0.2312712,1.689731
-0.07899062,-0.1390592,-0.2306921,1.700687
-0.07916907,-0.1389103,-0.2304704,1.716166
-0.07948995,-0.1388555,-0.2301272,1.731002
-0.07948995,-0.1388555,-0.2301272,1.744458
-0.08024991,-0.138595,-0.2296063,1.758332
-0.08030409,-0.1387021,-0.2291684,1.771492
-0.08030409,-0.1387021,-0.2291684,1.783822
-0.08067449,-0.1389058,-0.2281511,1.797065
-0.08087284,-0.1388032,-0.2275886,1.812957
-0.08087284,-0.1388032,-0.2275886,1.826173
-0.08115677,-0.138251,-0.2267788,1.840424
-0.08117717,-0.1384844,-0.225914,1.855371
-0.08117717,-0.1384844,-0.225914,1.868221
-0.08140987,-0.1384121,-0.2246354,1.882899
-0.08189693,-0.1386133,-0.2236105,1.898731
-0.08217202,-0.138666,-0.2227109,1.913845
-0.08217202,-0.138666,-0.2227109,1.927688
-0.08295935,-0.1387696,-0.2214032,1.941115
-0.08332273,-0.1387425,-0.2205671,1.954404
-0.08332273,-0.1387425,-0.2205671,1.966336
-0.08395588,-0.1389405,-0.2194178,1.980844
-0.08452118,-0.1388317,-0.218843,1.99641
-0.08452118,-0.1388317,-0.218843,2.009447
-0.08551111,-0.1396481,-0.2173183,2.023746
-0.08615814,-0.1401803,-0.2163874,2.038985
-0.08677832,-0.1404168,-0.2155766,2.05316
-0.08677832,-0.1404168,-0.2155766,2.066476
-0.08699032,-0.1400993,-0.2142042,2.080819
-0.08711745,-0.1395921,-0.2134738,2.094978
-0.08711745,-0.1395921,-0.2134738,2.109613
-0.08777457,-0.1367277,-0.212925,2.125036
-0.08800732,-0.1349027,-0.2127597,2.13928
-0.08816732,-0.1332958,-0.2125389,2.155229
-0.08816732,-0.1332958,-0.2125389,2.168039
-0.0890924,-0.1304657,-0.2122855,2.182261
-0.08954486,-0.1288246,-0.2119544,2.197121
-0.08995084,-0.1273861,-0.2116259,2.211556
-0.08995084,-0.1273861,-0.2116259,2.225541
-0.09098564,-0.1247924,-0.2114237,2.239331
-0.09169342,-0.123031,-0.2114431,2.254199
-0.09169342,-0.123031,-0.2114431,2.266806
-0.09332296,-0.1207252,-0.2113793,2.280189
-0.0946155,-0.1198846,-0.2110662,2.294885
-0.0946155,-0.1198846,-0.2110662,2.309701
-0.09674422,-0.1184796,-0.2104736,2.325189
-0.09789765,-0.1174373,-0.2102821,2.34042
-0.09892863,-0.1167333,-0.2100444,2.354391
-0.09892863,-0.1167333,-0.2100444,2.36653
-0.1008015,-0.1154882,-0.2096495,2.381383
-0.1023244,-0.1148654,-0.2092965,2.396629
-0.1036071,-0.1141787,-0.2090556,2.410755
-0.1036071,-0.1141787,-0.2090556,2.425569
-0.1053541,-0.1134554,-0.2084567,2.438808
-0.1060898,-0.1132497,-0.2081069,2.450854
-0.1060898,-0.1132497,-0.2081069,2.465303
-0.1085392,-0.112214,-0.2071002,2.49949
-0.1085392,-0.112214,-0.2071002,2.50766
-0.1090798,-0.1122665,-0.2067407,2.514565
-0.1090798,-0.1122665,-0.2067407,2.528524
-0.1102555,-0.11233,-0.2060637,2.541799
-0.1109193,-0.1122905,-0.2056984,2.555329
-0.1109193,-0.1122905,-0.2056984,2.567116
-0.1124398,-0.1121411,-0.2051518,2.58155
-0.1134657,-0.1117902,-0.2049446,2.5967
-0.1134657,-0.1117902,-0.2049446,2.609753
-0.1148336,-0.1114446,-0.2045569,2.623061
-0.1155929,-0.1112029,-0.20438,2.636559
-0.1155929,-0.1112029,-0.20438,2.649134
-0.117151,-0.1103415,-0.204478,2.664203
-0.1183,-0.1100572,-0.2046589,2.678885
-0.1192156,-0.1095214,-0.2050065,2.692677
-0.1222765,-0.108814,-0.2056296,2.729702
-0.1232602,-0.108679,-0.2057583,2.73736
-0.1232602,-0.108679,-0.2057583,2.745108
-0.1247946,-0.1086062,-0.2059178,2.752128
-0.1247946,-0.1086062,-0.2059178,2.765559
-0.127516,-0.1083366,-0.2064269,2.779696
-0.1291166,-0.108322,-0.2065902,2.793491
-0.1291166,-0.108322,-0.2065902,2.807221
-0.1314444,-0.1080507,-0.2069018,2.820208
-0.1329027,-0.1081482,-0.2068812,2.832916
-0.1329027,-0.1081482,-0.2068812,2.848029
-0.1354656,-0.1081218,-0.2068248,2.862467
-0.1368667,-0.108106,-0.2065794,2.87647
-0.1384231,-0.1078137,-0.2064024,2.891622
-0.1384231,-0.1078137,-0.2064024,2.906096
-0.1413843,-0.106767,-0.2061767,2.920257
-0.1428824,-0.1061578,-0.2060805,2.933447
-0.1428824,-0.1061578,-0.2060805,2.947847
-0.1462958,-0.1057028,-0.2056108,2.961063
-0.1480062,-0.1055197,-0.2053356,2.975386
-0.1480062,-0.1055197,-0.2053356,2.989933
-0.1515468,-0.1051015,-0.2051317,3.004674
-0.1531478,-0.1047545,-0.2051139,3.017579
-0.1547951,-0.1043129,-0.2052183,3.032764
-0.1547951,-0.1043129,-0.2052183,3.046544
-0.1577485,-0.103195,-0.2056049,3.061355
-0.1600106,-0.1026941,-0.2057132,3.076056
-0.1600106,-0.1026941,-0.2057132,3.089169
-0.1628692,-0.1022207,-0.2057872,3.102748
-0.164366,-0.1019396,-0.2058821,3.115812
-0.1656513,-0.1017941,-0.2058901,3.130675
-0.1656513,-0.1017941,-0.2058901,3.144643
-0.1688454,-0.1017719,-0.2056243,3.15736
-0.1705513,-0.1015876,-0.2054938,3.17019
-0.1705513,-0.1015876,-0.2054938,3.183041
-0.1733434,-0.1010574,-0.2054105,3.196402
-0.1749885,-0.1005795,-0.2054237,3.211695
-0.1749885,-0.1005795,-0.2054237,3.225798
-0.1772343,-0.09953061,-0.2055244,3.240116
-0.1791033,-0.0991638,-0.2054455,3.255097
-0.1791033,-0.0991638,-0.2054455,3.268172
-0.1813767,-0.09891887,-0.2053105,3.282478
-0.183215,-0.09904652,-0.2051145,3.297277
-0.1850003,-0.09942029,-0.2048561,3.312401
-0.1850003,-0.09942029,-0.2048561,3.326762
-0.1889331,-0.1000842,-0.2043723,3.342201
-0.1909906,-0.1001126,-0.204249,3.356808
-0.1930834,-0.1004595,-0.2039784,3.37116
-0.1930834,-0.1004595,-0.2039784,3.384377
-0.1959796,-0.1021451,-0.203362,3.399012
-0.1976681,-0.1035108,-0.2028028,3.413158
-0.1976681,-0.1035108,-0.2028028,3.426573
-0.2001756,-0.1051089,-0.2020812,3.439523
-0.2017073,-0.1057817,-0.2017965,3.454643
-0.2017073,-0.1057817,-0.2017965,3.467024
-0.2037244,-0.1072789,-0.201148,3.481652
-0.2049457,-0.1080372,-0.2008154,3.494369
-0.2049457,-0.1080372,-0.2008154,3.5087
