X, Y, Z, Time
-0.02120923,-0.1624762,-0.2070042,0.012409
-0.02114863,-0.1616155,-0.2081585,0.0277001
-0.02114863,-0.1616155,-0.2081585,0.0427047
-0.02139453,-0.1631517,-0.2086339,0.054628
-0.02139866,-0.1618673,-0.2085048,0.0691938
-0.02139866,-0.1618673,-0.2085048,0.0816985
-0.02444863,-0.1735697,-0.2084939,0.0946451
-0.02436037,-0.1644603,-0.2087976,0.1100372
-0.02447428,-0.1629406,-0.2090049,0.1245075
-0.02447428,-0.1629406,-0.2090049,0.1380926
-0.02722761,-0.1793932,-0.2089537,0.153158
-0.02725107,-0.1659988,-0.2096384,0.1738408
-0.02825569,-0.1645356,-0.2103639,0.1896166
-0.02825569,-0.1645356,-0.2103639,0.2030259
-0.02871637,-0.1616958,-0.2107732,0.211812
-0.02890769,-0.1634833,-0.2104815,0.2271185
-0.02890769,-0.1634833,-0.2104815,0.2412292
-0.02883712,-0.1628216,-0.2111537,0.2546967
-0.03002317,-0.1636379,-0.2118918,0.2706047
-0.02988219,-0.1628676,-0.2125978,0.2858665
-0.02988219,-0.1628676,-0.2125978,0.3013799
-0.03080546,-0.1637469,-0.2112875,0.3125404
-0.0321345,-0.1612103,-0.2111406,0.3278894
-0.0321345,-0.1612103,-0.2111406,0.3432547
-0.03181981,-0.1720769,-0.212531,0.3566513
-0.03222485,-0.1641099,-0.2120904,0.3696192
-0.03235529,-0.160784,-0.212529,0.3838271
-0.03235529,-0.160784,-0.212529,0.3996507
-0.03142287,-0.1726397,-0.2137442,0.4124704
-0.03153476,-0.1625879,-0.2127174,0.4280049
-0.03153476,-0.1625879,-0.2127174,0.4424604
-0.03113629,-0.1605626,-0.2128985,0.4564098
-0.03504236,-0.1781912,-0.2180975,0.4724069
-0.03446048,-0.1646992,-0.2186329,0.4857195
-0.03446048,-0.1646992,-0.2186329,0.5001963
-0.03439204,-0.1620135,-0.2182683,0.5131098
-0.03439194,-0.16131,-0.2186449,0.5283808
-0.03439194,-0.16131,-0.2186449,0.5431512
-0.03446118,-0.1611962,-0.2186891,0.5576302
-0.03379021,-0.1608678,-0.2187058,0.5719982
-0.03517445,-0.1614014,-0.2185663,0.5865496
-0.03517445,-0.1614014,-0.2185663,0.6012261
-0.03490098,-0.1588896,-0.2189487,0.6150086
-0.03412335,-0.1621754,-0.2194258,0.6285487
-0.03412335,-0.1621754,-0.2194258,0.6433807
-0.03424572,-0.1611113,-0.2193322,0.6571304
-0.03411646,-0.1626503,-0.2197841,0.6744237
-0.03440262,-0.158569,-0.2191346,0.6850045
-0.03440262,-0.158569,-0.2191346,0.699481
-0.03368457,-0.1615305,-0.2190723,0.7120404
-0.03348827,-0.1595117,-0.2190988,0.7271136
-0.03348827,-0.1595117,-0.2190988,0.742128
-0.03267676,-0.1581094,-0.2192476,0.7553432
-0.0327226,-0.1566052,-0.2191199,0.7702534
