X, Y, Z, Time
-0.02120312,-0.1624298,-0.2070147,0.0275664
-0.02144859,-0.161946,-0.2074428,0.0384797
-0.02177317,-0.1631504,-0.2079643,0.0681023
-0.02166942,-0.1625203,-0.2072791,0.0763143
-0.02212397,-0.1632453,-0.2082234,0.1075159
-0.02179951,-0.1619984,-0.2081663,0.1169388
-0.04141985,-0.1767524,-0.2137676,0.145943
-0.04026269,-0.1638093,-0.2138486,0.154866
-0.04097887,-0.1606277,-0.213478,0.1849041
-0.04095313,-0.1632425,-0.2140362,0.2216658
-0.04171415,-0.1763331,-0.2140178,0.244754
-0.04132127,-0.1654965,-0.2146234,0.252734
-0.04132127,-0.1654965,-0.2146234,0.2667825
-0.0419509,-0.1736811,-0.215763,0.2955732
-0.0419509,-0.1736811,-0.215763,0.3052274
-0.04220121,-0.1628115,-0.2167462,0.3303673
-0.04220121,-0.1628115,-0.2167462,0.3404283
-0.04390838,-0.1646831,-0.2178825,0.3711068
-0.04390838,-0.1646831,-0.2178825,0.3800884
-0.0438535,-0.1602264,-0.2180072,0.4086594
-0.04277553,-0.1617101,-0.2190345,0.4183892
-0.04334436,-0.1573543,-0.2194263,0.4476278
-0.04457193,-0.1630257,-0.2210192,0.4565489
-0.04391562,-0.1609713,-0.2204708,0.4879847
-0.0436455,-0.1609361,-0.2206536,0.4966507
-0.04359709,-0.1608108,-0.2207635,0.5254317
-0.04355779,-0.1609204,-0.220755,0.5334619
-0.0436174,-0.1608516,-0.2208648,0.5619287
-0.04350491,-0.1612726,-0.2207973,0.5717518
-0.04390017,-0.1596403,-0.2215373,0.6017371
-0.04333254,-0.160693,-0.2215321,0.6105645
-0.04377131,-0.1583405,-0.2220441,0.6406923
-0.04377131,-0.1583405,-0.2220441,0.6500986
-0.04353651,-0.1580233,-0.2225618,0.678623
-0.04353651,-0.1580233,-0.2225618,0.6871624
-0.04347599,-0.1573531,-0.2225316,0.7157373
-0.04347599,-0.1573531,-0.2225316,0.7247101
-0.04314787,-0.1567669,-0.2222772,0.7570939
-0.04314787,-0.1567669,-0.2222772,0.7680678
-0.04294103,-0.1559749,-0.2219852,0.7979115
-0.04289364,-0.1557584,-0.2218999,0.8164046
-0.04315477,-0.1551859,-0.2225858,0.8380226
-0.04315477,-0.1551859,-0.2225858,0.847784
-0.04327508,-0.1544267,-0.2216272,0.8758551
-0.04327508,-0.1544267,-0.2216272,0.885295
-0.04312856,-0.1539899,-0.2217862,0.9127176
-0.04312856,-0.1539899,-0.2217862,0.9227976
-0.03975017,-0.1539936,-0.2222275,0.9525284
-0.03975017,-0.1539936,-0.2222275,0.962319
-0.03362253,-0.1532093,-0.2250619,0.9908093
-0.03362253,-0.1532093,-0.2250619,1.000829
-0.02825229,-0.1527927,-0.2231373,1.029768
-0.02759052,-0.1522126,-0.2228474,1.039681
-0.0255705,-0.1512437,-0.2206483,1.069235
-0.0252603,-0.1507422,-0.2202535,1.078466
-0.02421385,-0.1494423,-0.219251,1.105881
-0.02397295,-0.1487046,-0.2189149,1.116322
-0.02276863,-0.1466788,-0.2181856,1.144995
-0.02181686,-0.1445523,-0.2172885,1.175822
-0.02100116,-0.1430593,-0.2167615,1.197385
-0.02100116,-0.1430593,-0.2167615,1.205847
-0.02018626,-0.1413366,-0.2162976,1.214432
-0.02000809,-0.1367326,-0.2164183,1.24279
-0.01985779,-0.1350047,-0.2163445,1.252699
-0.01905931,-0.1314892,-0.2160514,1.282453
-0.01875367,-0.1298021,-0.2157354,1.295784
-0.01830239,-0.1271235,-0.2150252,1.32367
-0.0183527,-0.1258297,-0.2148555,1.333422
-0.01798022,-0.1233333,-0.2141352,1.361117
-0.01761878,-0.1221554,-0.2137075,1.371922
-0.01797275,-0.1179262,-0.2135243,1.404982
-0.01816588,-0.1160378,-0.2133488,1.417048
-0.018039,-0.1129349,-0.2130886,1.441264
-0.01804882,-0.1112442,-0.2129783,1.452657
-0.01864714,-0.108575,-0.2128833,1.482373
-0.01896381,-0.1072271,-0.2128335,1.493872
-0.0194626,-0.105211,-0.2122873,1.525033
-0.01925922,-0.1045373,-0.2118716,1.533104
-0.01948486,-0.1017349,-0.2113887,1.562569
-0.0196102,-0.100769,-0.2112349,1.57037
-0.01983983,-0.0957965,-0.2103707,1.615162
-0.01991102,-0.09377749,-0.209987,1.636515
-0.01991102,-0.09377749,-0.209987,1.644671
-0.01980584,-0.09285373,-0.2093955,1.651656
-0.01980615,-0.091465,-0.2084198,1.679763
-0.01980615,-0.091465,-0.2084198,1.689361
-0.01885621,-0.09031933,-0.2061939,1.71793
-0.01885621,-0.09031933,-0.2061939,1.729075
-0.01800644,-0.08883463,-0.2043511,1.757837
-0.01800644,-0.08883463,-0.2043511,1.766316
-0.01639832,-0.08870441,-0.2021428,1.794588
-0.01639832,-0.08870441,-0.2021428,1.804264
-0.01554796,-0.08873412,-0.1999889,1.831481
-0.01554796,-0.08873412,-0.1999889,1.841186
-0.01455552,-0.08901993,-0.1974491,1.874729
-0.01414127,-0.08976381,-0.1958085,1.904222
-0.01422206,-0.09025835,-0.1952692,1.912138
-0.01463194,-0.09116237,-0.1942071,1.93376
-0.01552263,-0.09272874,-0.1927013,1.96369
-0.01656348,-0.09408028,-0.1916531,1.984322
-0.01682815,-0.09450845,-0.191202,1.992395
-0.01682815,-0.09450845,-0.191202,2.001804
-0.01890234,-0.09529772,-0.1891697,2.038055
-0.01890234,-0.09529772,-0.1891697,2.047235
-0.01987137,-0.09437896,-0.1884075,2.071213
-0.01987137,-0.09437896,-0.1884075,2.080518
-0.02146639,-0.09585617,-0.1871938,2.109898
-0.02181865,-0.09612224,-0.186835,2.117741
-0.02264538,-0.09662362,-0.1855928,2.14699
-0.02297247,-0.09681366,-0.185175,2.15725
-0.02385364,-0.09706328,-0.1845894,2.187408
-0.02441578,-0.09792493,-0.1840124,2.197307
-0.02486794,-0.09843457,-0.1832296,2.224709
-0.0252615,-0.09860065,-0.1829861,2.232596
-0.02609991,-0.09931118,-0.1822817,2.261619
-0.02693845,-0.1003926,-0.1814246,2.295074
-0.02749028,-0.1012145,-0.1808571,2.316148
-0.02749028,-0.1012145,-0.1808571,2.32411
-0.02766065,-0.1018683,-0.180421,2.331325
-0.02849904,-0.1031397,-0.1795759,2.361128
-0.02890035,-0.1039434,-0.1790719,2.372848
-0.02976867,-0.1052186,-0.1782681,2.40497
-0.02982002,-0.1053311,-0.1782362,2.413116
-0.03024108,-0.1062378,-0.1775774,2.441375
-0.03048473,-0.1066513,-0.1772082,2.452783
-0.03023339,-0.106618,-0.1766567,2.481875
-0.02998966,-0.1061629,-0.1766572,2.493506
-0.02970862,-0.1051138,-0.1768247,2.521233
-0.02956967,-0.1046665,-0.1769656,2.531802
-0.02850776,-0.1040291,-0.176801,2.560824
-0.02802097,-0.1039278,-0.1767442,2.570248
-0.02624348,-0.1020869,-0.1772237,2.60035
-0.02533976,-0.1011484,-0.1772729,2.612791
-0.02327773,-0.09809774,-0.1780155,2.64126
-0.02238935,-0.09703158,-0.1782518,2.650182
-0.02027188,-0.09452124,-0.1791006,2.679939
-0.02027188,-0.09452124,-0.1791006,2.689302
