X, Y, Z, Time
-0.02118951,-0.1624871,-0.2070068,0.0158335
-0.02228214,-0.1617506,-0.2120979,0.0291591
-0.02228214,-0.1617506,-0.2120979,0.0443704
-0.02232825,-0.1621823,-0.2121979,0.0581269
-0.02244379,-0.1618282,-0.2122316,0.0716667
-0.02244379,-0.1618282,-0.2122316,0.08495881
-0.02251684,-0.1613391,-0.2122706,0.09794801
-0.02253832,-0.1641407,-0.2123489,0.1109184
-0.02343382,-0.1671614,-0.2121028,0.1333025
-0.02343382,-0.1671614,-0.2121028,0.1477477
-0.02392331,-0.1632662,-0.2120504,0.1607692
-0.02772348,-0.1700398,-0.2171645,0.1729905
-0.02772348,-0.1700398,-0.2171645,0.1867019
-0.02776146,-0.1630528,-0.2170614,0.2009417
-0.02778793,-0.1604522,-0.2173912,0.2169438
-0.02821426,-0.162241,-0.2169477,0.2315514
-0.02821426,-0.162241,-0.2169477,0.243686
-0.02775355,-0.1624404,-0.2168103,0.2578828
-0.02781972,-0.1623456,-0.2170102,0.2740433
-0.02781972,-0.1623456,-0.2170102,0.2869872
-0.02793365,-0.1621582,-0.2170183,0.3012583
-0.02817187,-0.1643389,-0.217252,0.3168089
-0.02789536,-0.1610692,-0.217071,0.3288367
-0.02789536,-0.1610692,-0.217071,0.3438855
-0.02803302,-0.1583177,-0.2173008,0.3585672
-0.02805251,-0.1583647,-0.2168571,0.3739906
-0.02805251,-0.1583647,-0.2168571,0.3869089
-0.0260478,-0.1554487,-0.2173565,0.4023891
-0.02608928,-0.1542232,-0.2172912,0.4158332
-0.0314244,-0.1582546,-0.2236009,0.4284757
-0.0314244,-0.1582546,-0.2236009,0.4435476
-0.03128758,-0.1522355,-0.2241654,0.4569997
-0.03129377,-0.150548,-0.223922,0.4719851
-0.03129377,-0.150548,-0.223922,0.4852682
-0.03103563,-0.148813,-0.2240005,0.500734
-0.03013742,-0.1479178,-0.2250699,0.5138236
-0.03013742,-0.1479178,-0.2250699,0.5267783
-0.02969359,-0.1467465,-0.2254674,0.539969
-0.02933048,-0.1461532,-0.2257566,0.5549765
-0.02874317,-0.1457334,-0.225862,0.5690577
-0.02874317,-0.1457334,-0.225862,0.583588
-0.02826802,-0.1448798,-0.2262249,0.5981813
-0.02754635,-0.1441171,-0.2272612,0.6109831
-0.02754635,-0.1441171,-0.2272612,0.6257227
-0.02727235,-0.1432494,-0.2274452,0.6389508
-0.02712782,-0.1426223,-0.2274772,0.6542967
-0.02699042,-0.1424564,-0.2270862,0.6688549
-0.02699042,-0.1424564,-0.2270862,0.6848837
-0.02677706,-0.1419556,-0.227062,0.6979927
-0.02629531,-0.1419136,-0.2254303,0.7092484
-0.02629531,-0.1419136,-0.2254303,0.7240853
-0.01948843,-0.142066,-0.2196589,0.7384862
-0.01779502,-0.141106,-0.2193396,0.7524431
-0.01779502,-0.141106,-0.2193396,0.7660515
