X, Y, Z, Time
-0.02119038,-0.1624834,-0.2070026,0.014804
-0.02137896,-0.1624391,-0.2079882,0.0283273
-0.02137896,-0.1624391,-0.2079882,0.0416658
-0.02134599,-0.1636049,-0.2089798,0.0556364
-0.02209109,-0.1643762,-0.2087613,0.068701
-0.02209109,-0.1643762,-0.2087613,0.0831019
-0.02138304,-0.1649737,-0.2090618,0.098063
-0.02011973,-0.1635621,-0.2102458,0.1141688
-0.01991623,-0.1736718,-0.2132137,0.1279365
-0.01991623,-0.1736718,-0.2132137,0.1423453
-0.0337487,-0.1622525,-0.2231561,0.1782163
-0.04554455,-0.162464,-0.2099805,0.1927462
-0.04566289,-0.1620425,-0.2103423,0.2084683
-0.04566289,-0.1620425,-0.2103423,0.2283012
-0.04629457,-0.1628239,-0.210128,0.2443132
-0.04597064,-0.1624607,-0.2103647,0.2582554
-0.04597064,-0.1624607,-0.2103647,0.2666592
-0.04793188,-0.162913,-0.2107833,0.2963369
-0.04793188,-0.162913,-0.2107833,0.3050356
-0.10309,-0.1624627,-0.1966543,0.3201768
-0.1057919,-0.1619019,-0.1968978,0.3360044
-0.1058147,-0.1622458,-0.1971614,0.3552915
-0.1058147,-0.1622458,-0.1971614,0.3717108
-0.1060307,-0.1623292,-0.1968141,0.3848375
-0.10625,-0.1636916,-0.1971417,0.3944126
-0.10625,-0.1636916,-0.1971417,0.409443
-0.106283,-0.161516,-0.1972804,0.424629
-0.1066634,-0.174855,-0.1968257,0.438136
-0.1066634,-0.174855,-0.1968257,0.4527109
-0.1064188,-0.1632087,-0.196724,0.4676447
-0.1065883,-0.1616383,-0.1962672,0.482671
-0.1063422,-0.1758479,-0.1948831,0.4951922
-0.1063422,-0.1758479,-0.1948831,0.5106134
-0.1056013,-0.1623809,-0.1955064,0.525533
-0.1063387,-0.1642821,-0.1960353,0.5407809
-0.107027,-0.168581,-0.1960748,0.5547196
-0.107027,-0.168581,-0.1960748,0.5677158
-0.1070132,-0.1783282,-0.1964096,0.5820782
-0.1057711,-0.16627,-0.1964655,0.5948273
-0.1057711,-0.16627,-0.1964655,0.6088002
-0.1056742,-0.1593602,-0.1976047,0.6243668
-0.1071817,-0.1804563,-0.1970651,0.6396843
-0.1071817,-0.1804563,-0.1970651,0.6526269
-0.1068725,-0.1666854,-0.1971845,0.665677
-0.1070462,-0.1603661,-0.1970111,0.6776947
-0.1070462,-0.1603661,-0.1970111,0.6914113
-0.1080048,-0.1827233,-0.1974613,0.7046254
-0.1073808,-0.1675286,-0.1971203,0.7198583
-0.1076006,-0.1618415,-0.1970731,0.7360017
-0.1076006,-0.1618415,-0.1970731,0.7519272
-0.10796,-0.1688127,-0.197686,0.7648585
-0.1081984,-0.1618931,-0.1972668,0.7774578
-0.1081984,-0.1618931,-0.1972668,0.7911597
-0.1080638,-0.1678243,-0.1963498,0.8061572
-0.1086164,-0.1629986,-0.1972846,0.8217267
-0.1085113,-0.1805837,-0.1960996,0.8350068
-0.1085113,-0.1805837,-0.1960996,0.849974
-0.107865,-0.1650367,-0.1961744,0.86167
-0.1082035,-0.1630503,-0.1960157,0.8766431
-0.1082035,-0.1630503,-0.1960157,0.8915412
-0.108427,-0.1775445,-0.1975832,0.9045777
-0.1074517,-0.1647895,-0.1972466,0.9186581
-0.1074517,-0.1647895,-0.1972466,0.9316021
-0.1079046,-0.1620207,-0.1974203,0.9441318
-0.1078023,-0.1639461,-0.1969074,0.9579646
-0.1078023,-0.1639461,-0.1969074,0.9729414
-0.1084258,-0.1616231,-0.1965635,0.9867691
-0.1096856,-0.1685575,-0.1956617,1.001276
-0.1096776,-0.1620343,-0.1954757,1.016133
-0.1096776,-0.1620343,-0.1954757,1.028905
-0.1095904,-0.162068,-0.1957726,1.043233
-0.1096064,-0.1623692,-0.1957878,1.056452
-0.1096064,-0.1623692,-0.1957878,1.071465
-0.1095528,-0.161514,-0.1956902,1.086238
-0.1100357,-0.1697493,-0.195476,1.10145
-0.1097576,-0.1623173,-0.1956034,1.115481
-0.1097576,-0.1623173,-0.1956034,1.128057
-0.1099388,-0.1623064,-0.1956984,1.14376
-0.110028,-0.1598417,-0.1958013,1.15773
-0.110028,-0.1598417,-0.1958013,1.171227
-0.1096151,-0.1739142,-0.1961566,1.186228
-0.1090611,-0.1635209,-0.1965009,1.201232
-0.1087923,-0.1615241,-0.1965776,1.215709
-0.1087923,-0.1615241,-0.1965776,1.228284
-0.1084414,-0.1610992,-0.1967928,1.242598
-0.1083425,-0.1610608,-0.1969744,1.257553
-0.1083425,-0.1610608,-0.1969744,1.272334
-0.1086083,-0.1615633,-0.1965971,1.285415
-0.1091433,-0.1630224,-0.1966589,1.299233
-0.1091433,-0.1630224,-0.1966589,1.310569
-0.1089023,-0.1625985,-0.1966739,1.324398
-0.1087701,-0.161149,-0.1970969,1.338049
-0.1087701,-0.161149,-0.1970969,1.353662
-0.1091194,-0.1627335,-0.1976435,1.369791
-0.1093379,-0.1613735,-0.1978329,1.384954
-0.1091713,-0.1652968,-0.1982548,1.397869
-0.1091713,-0.1652968,-0.1982548,1.410678
-0.1087782,-0.1619261,-0.1982465,1.425673
-0.1089475,-0.1625201,-0.1982478,1.441615
-0.1089901,-0.1623994,-0.1982476,1.454787
-0.1089901,-0.1623994,-0.1982476,1.468168
-0.1089641,-0.1624628,-0.1983463,1.482763
-0.109013,-0.1624835,-0.1983194,1.494877
-0.109013,-0.1624835,-0.1983194,1.510047
-0.1090261,-0.1625108,-0.1983238,1.541312
-0.1090261,-0.1625108,-0.1983238,1.549876
-0.1090143,-0.1625321,-0.1983202,1.556937
-0.1090143,-0.1625321,-0.1983202,1.569354
-0.1090321,-0.1625343,-0.1983242,1.585211
-0.1090181,-0.1625514,-0.1983242,1.601849
-0.1090181,-0.1625514,-0.1983242,1.612585
-0.1090132,-0.1625567,-0.1983272,1.62715
-0.1089846,-0.1625606,-0.1983289,1.641033
-0.1089958,-0.1625749,-0.1983342,1.656371
-0.1089958,-0.1625749,-0.1983342,1.671058
-0.1090079,-0.1625705,-0.1983414,1.686087
-0.1090072,-0.1625686,-0.1983397,1.699806
