X, Y, Z, Time
-0.0247638,-0.1624892,-0.2017758,0.0150926
-0.0247638,-0.1624892,-0.2017758,0.0303936
-0.02507744,-0.161989,-0.2020995,0.0433071
-0.03318089,-0.1687143,-0.2107035,0.0583463
-0.03318089,-0.1687143,-0.2107035,0.072623
-0.03283428,-0.1628242,-0.2107175,0.0861614
-0.03255573,-0.1605011,-0.2114868,0.1007405
-0.03291226,-0.1784236,-0.2126236,0.1155549
-0.03291226,-0.1784236,-0.2126236,0.1306588
-0.03292101,-0.163464,-0.2107862,0.1502201
-0.03130314,-0.1679875,-0.212774,0.1626544
-0.03262572,-0.1643865,-0.2125076,0.1768155
-0.03262572,-0.1643865,-0.2125076,0.1903462
-0.03293053,-0.1862373,-0.2174241,0.2031939
-0.03028738,-0.1615481,-0.2161572,0.2164882
-0.03028738,-0.1615481,-0.2161572,0.2312758
-0.03032986,-0.1811466,-0.2098881,0.2466171
-0.02875593,-0.1640314,-0.2112185,0.2602125
-0.02872287,-0.1654222,-0.2119298,0.2985629
-0.02872287,-0.1654222,-0.2119298,0.3069054
-0.03051008,-0.1578878,-0.2114995,0.3142108
-0.03051008,-0.1578878,-0.2114995,0.3245481
-0.03529315,-0.1810888,-0.209756,0.3388552
-0.03484917,-0.1641497,-0.2108021,0.3539601
-0.03484917,-0.1641497,-0.2108021,0.3668541
-0.03641356,-0.1583057,-0.2101144,0.3810123
-0.03641356,-0.1583057,-0.2101144,0.3926517
-0.03514032,-0.1819989,-0.2067346,0.4063482
-0.03521644,-0.1653901,-0.2066323,0.4218248
-0.03701267,-0.1726199,-0.2080276,0.4354524
-0.03701267,-0.1726199,-0.2080276,0.4496898
-0.03788011,-0.1636571,-0.2068541,0.4641693
-0.03838926,-0.1864842,-0.2095969,0.4790349
-0.03838926,-0.1864842,-0.2095969,0.4913778
-0.03904304,-0.1706177,-0.211764,0.5041631
-0.0397306,-0.1624416,-0.2101366,0.5178583
-0.0397306,-0.1624416,-0.2101366,0.5329359
-0.03913642,-0.1796335,-0.2094545,0.5478947
-0.03865671,-0.1668616,-0.2105068,0.5625938
-0.03937425,-0.1627796,-0.2115798,0.5755039
-0.03937425,-0.1627796,-0.2115798,0.5897644
-0.04025187,-0.1611371,-0.2113664,0.6045718
-0.04153258,-0.1803963,-0.2116181,0.6178207
-0.04153258,-0.1803963,-0.2116181,0.6339043
-0.04120968,-0.1653077,-0.2118464,0.6464991
-0.04215142,-0.1636395,-0.211781,0.659455
-0.04222,-0.1791188,-0.2120515,0.6745391
-0.04222,-0.1791188,-0.2120515,0.6879208
-0.04214196,-0.1663464,-0.2123743,0.7012432
-0.04239889,-0.1643399,-0.2127801,0.7159129
-0.04239889,-0.1643399,-0.2127801,0.7309427
-0.04421467,-0.177254,-0.2135258,0.7459177
-0.04449048,-0.165285,-0.213549,0.7589679
-0.04443717,-0.1629444,-0.2143173,0.7744305
-0.04443717,-0.1629444,-0.2143173,0.7891762
-0.04577843,-0.1757395,-0.2146431,0.8035763
-0.04576324,-0.1650192,-0.2146871,0.8177688
-0.04576324,-0.1650192,-0.2146871,0.8315806
-0.04522542,-0.161796,-0.2148489,0.8456194
-0.0492918,-0.172732,-0.2147081,0.8596197
-0.04904501,-0.1631451,-0.2149637,0.8748127
-0.04904501,-0.1631451,-0.2149637,0.8884484
-0.04912317,-0.1598973,-0.2151008,0.9029443
-0.05242987,-0.169375,-0.2156893,0.9170392
-0.05242987,-0.169375,-0.2156893,0.9319379
-0.05156334,-0.1620716,-0.2161765,0.9472019
-0.05231679,-0.1591501,-0.2163464,0.9641267
-0.06201845,-0.1689899,-0.221961,0.9790363
-0.06201845,-0.1689899,-0.221961,0.9909067
-0.06157091,-0.1604957,-0.2215338,1.00539
-0.06185649,-0.159057,-0.2217474,1.020807
-0.06185649,-0.159057,-0.2217474,1.03273
-0.0616783,-0.1584757,-0.2215531,1.047482
-0.06169681,-0.1580564,-0.2215638,1.062224
-0.061728,-0.1577576,-0.2215638,1.075594
-0.061728,-0.1577576,-0.2215638,1.090745
-0.06177955,-0.1571751,-0.2215426,1.103539
-0.06188149,-0.1566499,-0.2215443,1.117969
-0.06188149,-0.1566499,-0.2215443,1.133295
-0.06177936,-0.155789,-0.2215604,1.147528
-0.06185636,-0.1554658,-0.2215564,1.162632
-0.06185294,-0.1550455,-0.2215595,1.17545
-0.06185294,-0.1550455,-0.2215595,1.190085
-0.06171724,-0.153811,-0.2215431,1.21686
-0.06171724,-0.153811,-0.2215431,1.225311
-0.06171724,-0.153811,-0.2215431,1.233441
-0.06182796,-0.1524669,-0.2215749,1.246315
-0.06174522,-0.1514462,-0.2215774,1.259451
-0.06183283,-0.1504871,-0.2215467,1.274047
-0.06183283,-0.1504871,-0.2215467,1.288806
-0.06168529,-0.1491469,-0.2215525,1.307918
-0.06766026,-0.1508436,-0.2246735,1.322741
-0.06766026,-0.1508436,-0.2246735,1.33192
-0.06767834,-0.1471654,-0.224844,1.346723
-0.06772411,-0.1460033,-0.2247921,1.360021
-0.06773233,-0.1453209,-0.2250198,1.375403
-0.06773233,-0.1453209,-0.2250198,1.390727
-0.06815522,-0.1437434,-0.2259016,1.404138
-0.06834741,-0.1428784,-0.2260238,1.417755
-0.06834741,-0.1428784,-0.2260238,1.432284
-0.06845271,-0.1413189,-0.2263612,1.447869
-0.06832834,-0.1407051,-0.2265054,1.463729
-0.06840666,-0.1402194,-0.22651,1.479259
-0.06840666,-0.1402194,-0.22651,1.491319
-0.06791382,-0.1398214,-0.2264927,1.505736
-0.06771654,-0.1394522,-0.2265842,1.521086
-0.06771654,-0.1394522,-0.2265842,1.533459
-0.06740236,-0.1387071,-0.2265274,1.547706
-0.06723583,-0.1381219,-0.226611,1.559037
-0.06723583,-0.1381219,-0.226611,1.573252
-0.06672017,-0.1379357,-0.2262707,1.588581
-0.06622537,-0.1379116,-0.2260094,1.602659
-0.06580579,-0.1380396,-0.2256341,1.616839
-0.06580579,-0.1380396,-0.2256341,1.632039
-0.06436327,-0.1385026,-0.2247613,1.64637
-0.06352609,-0.1389741,-0.2242657,1.658894
-0.06212005,-0.1408335,-0.2230927,1.67432
-0.06212005,-0.1408335,-0.2230927,1.689135
-0.05949527,-0.144094,-0.2211107,1.702261
-0.05797481,-0.1452785,-0.2200919,1.715925
-0.05797481,-0.1452785,-0.2200919,1.729382
-0.05260797,-0.1486387,-0.2170536,1.751613
-0.05131412,-0.1497055,-0.2162435,1.759321
-0.05131412,-0.1497055,-0.2162435,1.771291
-0.04663791,-0.1535776,-0.2136689,1.799058
-0.04663791,-0.1535776,-0.2136689,1.80735
-0.04533422,-0.1540642,-0.2131132,1.814493
-0.04533422,-0.1540642,-0.2131132,1.829604
-0.04328915,-0.1551903,-0.2120352,1.841887
-0.04238201,-0.1559862,-0.2114199,1.856853
-0.04238201,-0.1559862,-0.2114199,1.869967
-0.04140589,-0.1573468,-0.210442,1.884372
-0.04069069,-0.1577671,-0.209991,1.899575
-0.04047586,-0.157811,-0.2098406,1.915917
-0.04047586,-0.157811,-0.2098406,1.928384
-0.04023102,-0.158179,-0.2097245,1.939747
-0.04010601,-0.1585117,-0.2096422,1.955334
-0.04010601,-0.1585117,-0.2096422,1.968065
-0.04012898,-0.158555,-0.2096607,1.9809
-0.0402284,-0.158461,-0.2097193,1.99632
-0.0402284,-0.158461,-0.2097193,2.008133
-0.04017452,-0.1585636,-0.2096779,2.022412
-0.04010786,-0.1587974,-0.2096315,2.038305
-0.04010786,-0.1587974,-0.2096315,2.051216
-0.03998448,-0.159151,-0.2094848,2.064575
-0.0400499,-0.1589354,-0.2095241,2.078726
-0.0400499,-0.1589354,-0.2095241,2.08961
-0.03994728,-0.1590959,-0.2094459,2.104163
-0.03987002,-0.1592019,-0.2093876,2.120081
-0.04002279,-0.1594263,-0.2094611,2.134605
-0.04002279,-0.1594263,-0.2094611,2.148163
-0.04005373,-0.1599209,-0.209444,2.16291
-0.04014224,-0.1602994,-0.209466,2.174891
-0.04014224,-0.1602994,-0.209466,2.190019
-0.04016362,-0.1601104,-0.2094498,2.204673
-0.04020304,-0.1599526,-0.2094438,2.217945
-0.04020304,-0.1599526,-0.2094438,2.231803
-0.04028922,-0.1595468,-0.2094629,2.244781
-0.04038633,-0.1596293,-0.2094815,2.257718
-0.04038633,-0.1596293,-0.2094815,2.271667
-0.04058183,-0.1596986,-0.2095686,2.285446
-0.04086529,-0.1590589,-0.2097209,2.299823
-0.04101887,-0.1580882,-0.2098085,2.314542
-0.04101887,-0.1580882,-0.2098085,2.32933
-0.04072716,-0.1571774,-0.2091393,2.341284
-0.04022837,-0.157035,-0.2074803,2.356963
-0.04022837,-0.157035,-0.2074803,2.369933
-0.0399426,-0.1566795,-0.2060497,2.384717
-0.04056366,-0.1559668,-0.2036928,2.39982
-0.0416448,-0.1548667,-0.2031889,2.415979
-0.0416448,-0.1548667,-0.2031889,2.429579
-0.04227222,-0.1535915,-0.2028572,2.44084
-0.04283188,-0.1530306,-0.2025848,2.454347
-0.04283188,-0.1530306,-0.2025848,2.469024
-0.04397681,-0.1513288,-0.202274,2.483633
-0.04489065,-0.149261,-0.2028243,2.498898
-0.04581272,-0.147124,-0.2034048,2.514635
-0.04581272,-0.147124,-0.2034048,2.528427
-0.04689465,-0.1450875,-0.2037583,2.545154
-0.04720739,-0.1447744,-0.2035557,2.554919
-0.04720739,-0.1447744,-0.2035557,2.570344
-0.04902891,-0.1426014,-0.2037982,2.584881
-0.05000978,-0.1408226,-0.2043192,2.59886
-0.05000978,-0.1408226,-0.2043192,2.613343
-0.05117844,-0.1389764,-0.2044545,2.625474
-0.05167422,-0.138211,-0.2044363,2.640309
-0.05238713,-0.1376013,-0.2043846,2.655401
-0.05238713,-0.1376013,-0.2043846,2.668375
-0.05352151,-0.1373211,-0.2041704,2.682775
-0.05398696,-0.1369815,-0.2042019,2.697991
-0.05398696,-0.1369815,-0.2042019,2.71253
-0.05487672,-0.1364056,-0.2042383,2.724819
-0.05576666,-0.1363309,-0.2039856,2.739493
-0.05621102,-0.135623,-0.2042446,2.754582
-0.05621102,-0.135623,-0.2042446,2.76846
-0.05749323,-0.134796,-0.2042635,2.783698
-0.05835746,-0.13434,-0.2042632,2.796434
-0.05835746,-0.13434,-0.2042632,2.808482
-0.05969808,-0.1334946,-0.2042871,2.82312
-0.06052225,-0.1331936,-0.2041873,2.838642
-0.06052225,-0.1331936,-0.2041873,2.852034
-0.06150789,-0.1324978,-0.2042186,2.86509
-0.06239566,-0.1321605,-0.2042508,2.879328
-0.06239566,-0.1321605,-0.2042508,2.891636
-0.06393331,-0.1316989,-0.2041852,2.906661
-0.06466255,-0.131495,-0.2040513,2.921698
-0.06526554,-0.1314686,-0.203785,2.936018
-0.06526554,-0.1314686,-0.203785,2.950613
-0.06611215,-0.1308939,-0.2036863,2.963676
