X, Y, Z, Time
-0.02120335,-0.1624779,-0.2070075,0.0131686
-0.02120335,-0.1624779,-0.2070075,0.0270209
-0.02126766,-0.1618161,-0.2069652,0.0390487
-0.02134635,-0.1624339,-0.2071176,0.0529014
-0.02192577,-0.1630393,-0.2076072,0.0750244
-0.02192577,-0.1630393,-0.2076072,0.088149
-0.02162614,-0.1611182,-0.2064936,0.1031237
-0.02268262,-0.1791642,-0.2068244,0.1140956
-0.02268262,-0.1791642,-0.2068244,0.1298737
-0.02331707,-0.1657522,-0.206634,0.1427353
-0.02446191,-0.1636872,-0.2071549,0.1551292
-0.02581812,-0.1664374,-0.2080594,0.1706709
-0.02581812,-0.1664374,-0.2080594,0.1849197
-0.02807201,-0.1712274,-0.2065533,0.1982663
-0.03034498,-0.1657439,-0.2045143,0.2132769
-0.03034498,-0.1657439,-0.2045143,0.2272999
-0.03018742,-0.1590503,-0.2056486,0.2401461
-0.03317422,-0.181108,-0.204275,0.2558199
-0.03317422,-0.181108,-0.204275,0.2702654
-0.03271897,-0.1651497,-0.2045426,0.2841789
-0.03417842,-0.1600433,-0.2054684,0.299163
-0.03448337,-0.1820852,-0.2045846,0.3127689
-0.03448337,-0.1820852,-0.2045846,0.3265138
-0.03424496,-0.1674551,-0.2045358,0.3393643
-0.03486318,-0.1606955,-0.2048492,0.3547447
-0.03486318,-0.1606955,-0.2048492,0.3688375
-0.03540927,-0.1773756,-0.2048141,0.381666
-0.03519935,-0.1650902,-0.2056601,0.3964219
-0.03510381,-0.1633987,-0.2062977,0.4112282
-0.03510381,-0.1633987,-0.2062977,0.4238762
-0.03503054,-0.1766018,-0.2053951,0.4382948
-0.03536182,-0.1640103,-0.2052888,0.4533811
-0.03536182,-0.1640103,-0.2052888,0.467756
-0.03523102,-0.1655277,-0.2053366,0.4814849
-0.03562886,-0.162142,-0.2053925,0.4968492
-0.03610238,-0.1710244,-0.2058594,0.5116348
-0.03610238,-0.1710244,-0.2058594,0.5260065
-0.03607113,-0.1629488,-0.205853,0.5383832
-0.0358663,-0.1651459,-0.2051473,0.5521159
-0.0358663,-0.1651459,-0.2051473,0.5668903
-0.03571214,-0.1621145,-0.2053092,0.581601
-0.03577448,-0.1621296,-0.205236,0.5955516
-0.03577448,-0.1621296,-0.205236,0.6093079
-0.03569899,-0.1615498,-0.2052468,0.6218252
-0.03531445,-0.1607032,-0.205614,0.636893
-0.03531445,-0.1607032,-0.205614,0.6501758
-0.03525769,-0.1594446,-0.2056411,0.6624848
-0.0353265,-0.158642,-0.2057098,0.6768547
-0.0353265,-0.158642,-0.2057098,0.6886929
-0.0321119,-0.1567911,-0.208207,0.701876
-0.03116154,-0.1544102,-0.2085535,0.7160887
-0.03105952,-0.1517522,-0.2088787,0.731394
-0.03105952,-0.1517522,-0.2088787,0.7471373
-0.03034254,-0.1480457,-0.2093203,0.7603351
-0.03007327,-0.1464258,-0.2094571,0.7727797
-0.03007327,-0.1464258,-0.2094571,0.787647
-0.02997451,-0.1438091,-0.2097171,0.8020899
-0.0297162,-0.1422868,-0.2099014,0.8167814
-0.02959394,-0.1409434,-0.2102294,0.8306202
-0.02959394,-0.1409434,-0.2102294,0.8444459
-0.02978947,-0.1390958,-0.2108078,0.8559313
-0.0297424,-0.1382292,-0.2109499,0.8726566
-0.0297424,-0.1382292,-0.2109499,0.8851829
-0.02974615,-0.1366489,-0.2111109,0.898077
-0.02956508,-0.1352406,-0.2114095,0.9132178
-0.02956508,-0.1352406,-0.2114095,0.9279906
-0.02962166,-0.133534,-0.2119142,0.9401954
-0.02956138,-0.1327717,-0.2120162,0.9551157
-0.02956138,-0.1327717,-0.2120162,0.9701689
