X, Y, Z, Time
-0.02119551,-0.1624749,-0.2070069,0.013099
-0.02119551,-0.1624749,-0.2070069,0.0271985
-0.02118603,-0.1615225,-0.2069416,0.0400589
-0.02109357,-0.1620356,-0.207033,0.0548621
-0.02109357,-0.1620356,-0.207033,0.067373
-0.0209753,-0.1707849,-0.2069445,0.0799646
-0.02129816,-0.1637825,-0.2071609,0.0940647
-0.02129816,-0.1637825,-0.2071609,0.1089145
-0.0217735,-0.1602333,-0.2073008,0.1220425
-0.02232699,-0.1674031,-0.2083278,0.1340628
-0.02232699,-0.1674031,-0.2083278,0.1486329
-0.02238861,-0.1631677,-0.2088271,0.160738
-0.0227013,-0.1636523,-0.2092407,0.1752964
-0.0227013,-0.1636523,-0.2092407,0.1879378
-0.02267854,-0.1597521,-0.2086764,0.200879
-0.02692997,-0.1704218,-0.2137628,0.2139989
-0.02692997,-0.1704218,-0.2137628,0.2289244
-0.0265104,-0.1595114,-0.2134899,0.2417933
-0.02566142,-0.166484,-0.2125683,0.2559895
-0.02566142,-0.166484,-0.2125683,0.2680209
-0.02550362,-0.1631207,-0.2125943,0.2820681
-0.0253957,-0.1592247,-0.2129788,0.2959219
-0.0253957,-0.1592247,-0.2129788,0.3099053
-0.02481527,-0.1704362,-0.2101635,0.3226434
-0.02471219,-0.161095,-0.2105159,0.3355663
-0.02471219,-0.161095,-0.2105159,0.3509185
-0.02407393,-0.1634407,-0.2107544,0.3647145
-0.02374303,-0.1617936,-0.2109146,0.3788716
-0.0236869,-0.1625978,-0.211372,0.3920679
-0.0236869,-0.1625978,-0.211372,0.4057587
-0.02361168,-0.1618378,-0.2109911,0.4177844
-0.02361168,-0.1618378,-0.2109911,0.4308393
-0.02350118,-0.1617575,-0.2114427,0.4446531
-0.02166861,-0.1661446,-0.2108667,0.4588717
-0.02123015,-0.1629902,-0.2109888,0.4754614
-0.02123015,-0.1629902,-0.2109888,0.4850873
-0.02099637,-0.1633818,-0.2110608,0.49905
-0.02114488,-0.1615865,-0.210959,0.5128675
-0.02114488,-0.1615865,-0.210959,0.5283169
-0.02093471,-0.1637107,-0.2110076,0.5412324
-0.02110383,-0.1625858,-0.211088,0.5540334
-0.02110383,-0.1625858,-0.211088,0.5671802
-0.02098696,-0.1635738,-0.2112969,0.579783
-0.02104151,-0.1626108,-0.211178,0.5928859
-0.02104151,-0.1626108,-0.211178,0.6078864
-0.02096956,-0.1635699,-0.2113482,0.6207067
-0.02101414,-0.1626156,-0.2112173,0.6339762
-0.02101414,-0.1626156,-0.2112173,0.6487337
-0.02094305,-0.1635055,-0.2113568,0.6607203
-0.02095783,-0.1625709,-0.2112105,0.6749054
-0.02095783,-0.1625709,-0.2112105,0.6888104
-0.02077365,-0.1633468,-0.2112532,0.7006255
-0.020797,-0.1632596,-0.2112182,0.7150516
-0.020797,-0.1632596,-0.2112182,0.7287081
-0.02076905,-0.1627484,-0.2111667,0.7416769
-0.02075792,-0.1624705,-0.2114603,0.7548886
-0.02075792,-0.1624705,-0.2114603,0.7684998
-0.0208637,-0.1620195,-0.2114935,0.78208
-0.02087953,-0.1618399,-0.2112326,0.795534
-0.02087953,-0.1618399,-0.2112326,0.8088285
-0.0199873,-0.1609924,-0.2110823,0.8220481
-0.01940005,-0.1606737,-0.2115944,0.8347231
-0.01940005,-0.1606737,-0.2115944,0.8485997
-0.01737849,-0.1602948,-0.2115797,0.8622441
-0.01683388,-0.1598728,-0.2116722,0.8748013
-0.01683388,-0.1598728,-0.2116722,0.8896216
-0.01583223,-0.1595709,-0.2115329,0.9016191
-0.01400738,-0.159424,-0.2115575,0.9159287
-0.01400738,-0.159424,-0.2115575,0.9295111
-0.01333249,-0.1591011,-0.2115252,0.9426024
-0.01271405,-0.1588944,-0.2115222,0.9557862
-0.01271405,-0.1588944,-0.2115222,0.9681247
-0.0119168,-0.1584576,-0.2114402,0.9829008
-0.01151852,-0.1577296,-0.2113848,0.9967021
-0.01151852,-0.1577296,-0.2113848,1.009741
-0.01084982,-0.1561853,-0.2113611,1.022596
-0.01058756,-0.1551658,-0.2114226,1.037345
-0.01058756,-0.1551658,-0.2114226,1.050278
-0.01015511,-0.1537323,-0.2115058,1.063488
-0.009964146,-0.1530181,-0.2116468,1.075701
-0.009964146,-0.1530181,-0.2116468,1.090528
-0.009475442,-0.1516985,-0.211657,1.103723
-0.009123944,-0.1508663,-0.2115911,1.115933
-0.009123944,-0.1508663,-0.2115911,1.130386
-0.00923573,-0.1492021,-0.2118978,1.142607
-0.008845421,-0.1483901,-0.2120268,1.156918
-0.008845421,-0.1483901,-0.2120268,1.170819
-0.008840673,-0.1476097,-0.2123978,1.182729
-0.009016881,-0.1472098,-0.212654,1.197442
-0.009016881,-0.1472098,-0.212654,1.210768
-0.008855461,-0.1466249,-0.2128468,1.224469
-0.008968771,-0.1462051,-0.2130546,1.238139
-0.008968771,-0.1462051,-0.2130546,1.250631
-0.009045921,-0.1458112,-0.2132103,1.264047
-0.009112845,-0.1457623,-0.2132347,1.27677
-0.009073434,-0.1456746,-0.2132019,1.291595
-0.009073434,-0.1456746,-0.2132019,1.304746
-0.008880755,-0.1455182,-0.2129873,1.316819
-0.008880755,-0.1455182,-0.2129873,1.330727
