X, Y, Z, Time
-0.02119782,-0.16248,-0.2070034,0.0132547
-0.02400651,-0.1609186,-0.211432,0.0265554
-0.02400651,-0.1609186,-0.211432,0.039628
-0.02406309,-0.161799,-0.2114347,0.0537085
-0.02411318,-0.1618375,-0.2114194,0.0680599
-0.02411318,-0.1618375,-0.2114194,0.0805532
-0.02420917,-0.1607741,-0.2114638,0.09418359
-0.02419504,-0.1629149,-0.2119149,0.1064463
-0.02419504,-0.1629149,-0.2119149,0.1204734
-0.02358064,-0.1641122,-0.2117578,0.1342503
-0.02366252,-0.1612748,-0.2118348,0.1475062
-0.02366252,-0.1612748,-0.2118348,0.1606851
-0.02342082,-0.1607601,-0.2117118,0.1747884
-0.02297914,-0.1648965,-0.2123579,0.1877988
-0.02297914,-0.1648965,-0.2123579,0.2020439
-0.02332008,-0.160859,-0.2116634,0.2152868
-0.02309841,-0.1688228,-0.212998,0.2275433
-0.02309841,-0.1688228,-0.212998,0.2414872
-0.02360547,-0.1624972,-0.2129737,0.2544013
-0.02320305,-0.1609973,-0.2132173,0.2685515
-0.02320305,-0.1609973,-0.2132173,0.2826845
-0.02317671,-0.1681295,-0.2134803,0.2974054
-0.02358248,-0.1618699,-0.2130372,0.3115985
-0.02358248,-0.1618699,-0.2130372,0.3216107
-0.02309901,-0.1617815,-0.2131939,0.3361674
-0.02288114,-0.1698853,-0.2135412,0.3499607
-0.02288114,-0.1698853,-0.2135412,0.3615168
-0.02309072,-0.1630529,-0.2130197,0.3752095
-0.02234639,-0.1626652,-0.2130017,0.3900011
-0.02234639,-0.1626652,-0.2130017,0.4023549
-0.02243661,-0.1626913,-0.213689,0.4162911
-0.02236466,-0.1626635,-0.2137576,0.4294754
-0.02236466,-0.1626635,-0.2137576,0.4434219
-0.0222761,-0.1626366,-0.2137047,0.4574413
-0.02223788,-0.1626206,-0.2137505,0.4706188
-0.02223788,-0.1626206,-0.2137505,0.4844407
-0.02223899,-0.1625803,-0.2138155,0.4973111
-0.02213324,-0.1626087,-0.213931,0.5103621
-0.02213324,-0.1626087,-0.213931,0.5233731
-0.02209724,-0.162695,-0.2128005,0.5371948
-0.02130405,-0.162661,-0.2131288,0.5505908
-0.02130405,-0.162661,-0.2131288,0.5633879
-0.02139067,-0.1626396,-0.2131009,0.5763958
-0.02141602,-0.1626328,-0.2131025,0.5904217
-0.02141602,-0.1626328,-0.2131025,0.6034676
-0.0215227,-0.16262,-0.2131059,0.6172853
-0.02149273,-0.1625925,-0.213099,0.6305349
-0.02149273,-0.1625925,-0.213099,0.6435818
-0.02150627,-0.1625585,-0.2131006,0.6562395
-0.02146025,-0.1625039,-0.2130816,0.6705796
-0.02145219,-0.1625105,-0.2130845,0.6846806
-0.02145219,-0.1625105,-0.2130845,0.6976479
-0.02146543,-0.1624661,-0.2130703,0.7106473
-0.02146543,-0.1624661,-0.2130703,0.7243704
-0.02132259,-0.1623525,-0.21318,0.7373558
-0.01266103,-0.1625786,-0.213142,0.7505234
-0.01266103,-0.1625786,-0.213142,0.7645758
-0.008895317,-0.1611351,-0.213396,0.7772084
-0.008875,-0.1596757,-0.2138414,0.7915325
-0.008875,-0.1596757,-0.2138414,0.8045756
-0.009042091,-0.1583911,-0.2145196,0.8187976
-0.009082867,-0.1580212,-0.2148265,0.8323386
-0.009082867,-0.1580212,-0.2148265,0.8446619
-0.008532518,-0.1578538,-0.2150443,0.8581749
-0.008574112,-0.1576827,-0.2151579,0.8715493
-0.008249343,-0.1576191,-0.2152262,0.8854328
-0.008249343,-0.1576191,-0.2152262,0.899576
-0.007791511,-0.1575481,-0.2151763,0.9118345
-0.007791511,-0.1575481,-0.2151763,0.9244274
-0.007294027,-0.1570833,-0.2151052,0.9392874
-0.007057858,-0.1566224,-0.2151647,0.9523567
-0.006846197,-0.1566038,-0.2149661,0.9654327
-0.006846197,-0.1566038,-0.2149661,0.9783933
